original_feature_name,clean_feature_name
FLAG_DOCUMENT_17,FLAG_DOCUMENT_17
FLAG_DOCUMENT_18,FLAG_DOCUMENT_18
FLAG_DOCUMENT_19,FLAG_DOCUMENT_19
FLAG_DOCUMENT_20,FLAG_DOCUMENT_20
FLAG_DOCUMENT_21,FLAG_DOCUMENT_21
AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_HOUR
AMT_REQ_CREDIT_BUREAU_DAY,AMT_REQ_CREDIT_BUREAU_DAY
AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_WEEK
AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_MON
AMT_REQ_CREDIT_BUREAU_QRT,AMT_REQ_CREDIT_BUREAU_QRT
AMT_REQ_CREDIT_BUREAU_YEAR,AMT_REQ_CREDIT_BUREAU_YEAR
DAYS_EMPLOYED_ANOM,DAYS_EMPLOYED_ANOM
APP_CREDIT_INCOME_RATIO,APP_CREDIT_INCOME_RATIO
APP_ANNUITY_INCOME_RATIO,APP_ANNUITY_INCOME_RATIO
APP_CREDIT_ANNUITY_RATIO,APP_CREDIT_ANNUITY_RATIO
APP_GOODS_CREDIT_RATIO,APP_GOODS_CREDIT_RATIO
APP_INCOME_PER_PERSON,APP_INCOME_PER_PERSON
APP_EMPLOYED_BIRTH_RATIO,APP_EMPLOYED_BIRTH_RATIO
APP_CAR_BIRTH_RATIO,APP_CAR_BIRTH_RATIO
APP_PHONE_BIRTH_RATIO,APP_PHONE_BIRTH_RATIO
APP_PHONE_EMPLOYED_RATIO,APP_PHONE_EMPLOYED_RATIO
APP_EXT_SOURCE_MEAN,APP_EXT_SOURCE_MEAN
APP_EXT_SOURCE_MAX,APP_EXT_SOURCE_MAX
APP_EXT_SOURCE_MIN,APP_EXT_SOURCE_MIN
APP_EXT_SOURCE_STD,APP_EXT_SOURCE_STD
APP_DOCUMENT_COUNT,APP_DOCUMENT_COUNT
APP_CONTACT_COUNT,APP_CONTACT_COUNT
APP_ADDRESS_MISMATCH_COUNT,APP_ADDRESS_MISMATCH_COUNT
APP_MISSING_COUNT,APP_MISSING_COUNT
APP_MISSING_RATIO,APP_MISSING_RATIO
BUREAU_SK_ID_BUREAU_NUNIQUE,BUREAU_SK_ID_BUREAU_NUNIQUE
BUREAU_DAYS_CREDIT_MIN,BUREAU_DAYS_CREDIT_MIN
BUREAU_DAYS_CREDIT_MAX,BUREAU_DAYS_CREDIT_MAX
BUREAU_DAYS_CREDIT_MEAN,BUREAU_DAYS_CREDIT_MEAN
BUREAU_DAYS_CREDIT_VAR,BUREAU_DAYS_CREDIT_VAR
BUREAU_DAYS_CREDIT_ENDDATE_MIN,BUREAU_DAYS_CREDIT_ENDDATE_MIN
BUREAU_DAYS_CREDIT_ENDDATE_MAX,BUREAU_DAYS_CREDIT_ENDDATE_MAX
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,BUREAU_DAYS_CREDIT_ENDDATE_MEAN
BUREAU_DAYS_CREDIT_UPDATE_MIN,BUREAU_DAYS_CREDIT_UPDATE_MIN
BUREAU_DAYS_CREDIT_UPDATE_MAX,BUREAU_DAYS_CREDIT_UPDATE_MAX
BUREAU_DAYS_CREDIT_UPDATE_MEAN,BUREAU_DAYS_CREDIT_UPDATE_MEAN
BUREAU_CREDIT_DAY_OVERDUE_MAX,BUREAU_CREDIT_DAY_OVERDUE_MAX
BUREAU_CREDIT_DAY_OVERDUE_MEAN,BUREAU_CREDIT_DAY_OVERDUE_MEAN
BUREAU_CREDIT_DAY_OVERDUE_SUM,BUREAU_CREDIT_DAY_OVERDUE_SUM
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN
BUREAU_AMT_CREDIT_SUM_MAX,BUREAU_AMT_CREDIT_SUM_MAX
BUREAU_AMT_CREDIT_SUM_MEAN,BUREAU_AMT_CREDIT_SUM_MEAN
BUREAU_AMT_CREDIT_SUM_SUM,BUREAU_AMT_CREDIT_SUM_SUM
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,BUREAU_AMT_CREDIT_SUM_DEBT_MAX
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,BUREAU_AMT_CREDIT_SUM_DEBT_SUM
BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN
BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM
BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN
BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM
BUREAU_AMT_ANNUITY_MAX,BUREAU_AMT_ANNUITY_MAX
BUREAU_AMT_ANNUITY_MEAN,BUREAU_AMT_ANNUITY_MEAN
BUREAU_CNT_CREDIT_PROLONG_SUM,BUREAU_CNT_CREDIT_PROLONG_SUM
BUREAU_CNT_CREDIT_PROLONG_MEAN,BUREAU_CNT_CREDIT_PROLONG_MEAN
BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MEAN,BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MEAN
BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MAX,BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MAX
BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MEAN,BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MEAN
BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MAX,BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MAX
BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,BUREAU_BB_MONTHS_BALANCE_MIN_MEAN
BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,BUREAU_BB_MONTHS_BALANCE_MAX_MEAN
BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN,BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN
BUREAU_BB_STATUS_BAD_FLAG_MEAN_MEAN,BUREAU_BB_STATUS_BAD_FLAG_MEAN_MEAN
BUREAU_BB_STATUS_BAD_FLAG_SUM_MEAN,BUREAU_BB_STATUS_BAD_FLAG_SUM_MEAN
BUREAU_BB_STATUS_ZERO_FLAG_MEAN_MEAN,BUREAU_BB_STATUS_ZERO_FLAG_MEAN_MEAN
BUREAU_BB_STATUS_C_FLAG_MEAN_MEAN,BUREAU_BB_STATUS_C_FLAG_MEAN_MEAN
BUREAU_BB_STATUS_X_FLAG_MEAN_MEAN,BUREAU_BB_STATUS_X_FLAG_MEAN_MEAN
BUREAU_BB_STATUS_0_MEAN_MEAN,BUREAU_BB_STATUS_0_MEAN_MEAN
BUREAU_BB_STATUS_1_MEAN_MEAN,BUREAU_BB_STATUS_1_MEAN_MEAN
BUREAU_BB_STATUS_2_MEAN_MEAN,BUREAU_BB_STATUS_2_MEAN_MEAN
BUREAU_BB_STATUS_3_MEAN_MEAN,BUREAU_BB_STATUS_3_MEAN_MEAN
BUREAU_BB_STATUS_4_MEAN_MEAN,BUREAU_BB_STATUS_4_MEAN_MEAN
BUREAU_BB_STATUS_5_MEAN_MEAN,BUREAU_BB_STATUS_5_MEAN_MEAN
BUREAU_BB_STATUS_C_MEAN_MEAN,BUREAU_BB_STATUS_C_MEAN_MEAN
BUREAU_BB_STATUS_X_MEAN_MEAN,BUREAU_BB_STATUS_X_MEAN_MEAN
BUREAU_CREDIT_ACTIVE_Active_MEAN,BUREAU_CREDIT_ACTIVE_Active_MEAN
BUREAU_CREDIT_ACTIVE_Bad debt_MEAN,BUREAU_CREDIT_ACTIVE_Bad_debt_MEAN
BUREAU_CREDIT_ACTIVE_Closed_MEAN,BUREAU_CREDIT_ACTIVE_Closed_MEAN
BUREAU_CREDIT_ACTIVE_Sold_MEAN,BUREAU_CREDIT_ACTIVE_Sold_MEAN
BUREAU_CREDIT_CURRENCY_currency 1_MEAN,BUREAU_CREDIT_CURRENCY_currency_1_MEAN
BUREAU_CREDIT_CURRENCY_currency 2_MEAN,BUREAU_CREDIT_CURRENCY_currency_2_MEAN
BUREAU_CREDIT_CURRENCY_currency 3_MEAN,BUREAU_CREDIT_CURRENCY_currency_3_MEAN
BUREAU_CREDIT_CURRENCY_currency 4_MEAN,BUREAU_CREDIT_CURRENCY_currency_4_MEAN
BUREAU_CREDIT_TYPE_Another type of loan_MEAN,BUREAU_CREDIT_TYPE_Another_type_of_loan_MEAN
BUREAU_CREDIT_TYPE_Car loan_MEAN,BUREAU_CREDIT_TYPE_Car_loan_MEAN
BUREAU_CREDIT_TYPE_Cash loan (non-earmarked)_MEAN,BUREAU_CREDIT_TYPE_Cash_loan_non_earmarked_MEAN
BUREAU_CREDIT_TYPE_Consumer credit_MEAN,BUREAU_CREDIT_TYPE_Consumer_credit_MEAN
BUREAU_CREDIT_TYPE_Credit card_MEAN,BUREAU_CREDIT_TYPE_Credit_card_MEAN
BUREAU_CREDIT_TYPE_Interbank credit_MEAN,BUREAU_CREDIT_TYPE_Interbank_credit_MEAN
BUREAU_CREDIT_TYPE_Loan for business development_MEAN,BUREAU_CREDIT_TYPE_Loan_for_business_development_MEAN
BUREAU_CREDIT_TYPE_Loan for purchase of shares (margin lending)_MEAN,BUREAU_CREDIT_TYPE_Loan_for_purchase_of_shares_margin_lending_MEAN
BUREAU_CREDIT_TYPE_Loan for the purchase of equipment_MEAN,BUREAU_CREDIT_TYPE_Loan_for_the_purchase_of_equipment_MEAN
BUREAU_CREDIT_TYPE_Loan for working capital replenishment_MEAN,BUREAU_CREDIT_TYPE_Loan_for_working_capital_replenishment_MEAN
BUREAU_CREDIT_TYPE_Microloan_MEAN,BUREAU_CREDIT_TYPE_Microloan_MEAN
BUREAU_CREDIT_TYPE_Mobile operator loan_MEAN,BUREAU_CREDIT_TYPE_Mobile_operator_loan_MEAN
BUREAU_CREDIT_TYPE_Mortgage_MEAN,BUREAU_CREDIT_TYPE_Mortgage_MEAN
BUREAU_CREDIT_TYPE_Real estate loan_MEAN,BUREAU_CREDIT_TYPE_Real_estate_loan_MEAN
BUREAU_CREDIT_TYPE_Unknown type of loan_MEAN,BUREAU_CREDIT_TYPE_Unknown_type_of_loan_MEAN
BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM
BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN,BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM
BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM
BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN
BUREAU_ACTIVE_DAYS_CREDIT_MIN,BUREAU_ACTIVE_DAYS_CREDIT_MIN
BUREAU_ACTIVE_DAYS_CREDIT_MAX,BUREAU_ACTIVE_DAYS_CREDIT_MAX
BUREAU_ACTIVE_DAYS_CREDIT_MEAN,BUREAU_ACTIVE_DAYS_CREDIT_MEAN
BUREAU_CLOSED_AMT_CREDIT_SUM_SUM,BUREAU_CLOSED_AMT_CREDIT_SUM_SUM
BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN,BUREAU_CLOSED_AMT_CREDIT_SUM_MEAN
BUREAU_CLOSED_DAYS_CREDIT_MIN,BUREAU_CLOSED_DAYS_CREDIT_MIN
BUREAU_CLOSED_DAYS_CREDIT_MAX,BUREAU_CLOSED_DAYS_CREDIT_MAX
BUREAU_CLOSED_DAYS_CREDIT_MEAN,BUREAU_CLOSED_DAYS_CREDIT_MEAN
BUREAU_TOTAL_DEBT_CREDIT_RATIO,BUREAU_TOTAL_DEBT_CREDIT_RATIO
BUREAU_TOTAL_OVERDUE_DEBT_RATIO,BUREAU_TOTAL_OVERDUE_DEBT_RATIO
PREV_SK_ID_PREV_NUNIQUE,PREV_SK_ID_PREV_NUNIQUE
PREV_AMT_ANNUITY_MAX,PREV_AMT_ANNUITY_MAX
PREV_AMT_ANNUITY_MEAN,PREV_AMT_ANNUITY_MEAN
PREV_AMT_APPLICATION_MAX,PREV_AMT_APPLICATION_MAX
PREV_AMT_APPLICATION_MEAN,PREV_AMT_APPLICATION_MEAN
PREV_AMT_CREDIT_MAX,PREV_AMT_CREDIT_MAX
PREV_AMT_CREDIT_MEAN,PREV_AMT_CREDIT_MEAN
PREV_APP_CREDIT_PERC_MAX,PREV_APP_CREDIT_PERC_MAX
PREV_APP_CREDIT_PERC_MEAN,PREV_APP_CREDIT_PERC_MEAN
PREV_APP_CREDIT_PERC_VAR,PREV_APP_CREDIT_PERC_VAR
PREV_AMT_DOWN_PAYMENT_MAX,PREV_AMT_DOWN_PAYMENT_MAX
PREV_AMT_DOWN_PAYMENT_MEAN,PREV_AMT_DOWN_PAYMENT_MEAN
PREV_AMT_GOODS_PRICE_MAX,PREV_AMT_GOODS_PRICE_MAX
PREV_AMT_GOODS_PRICE_MEAN,PREV_AMT_GOODS_PRICE_MEAN
PREV_HOUR_APPR_PROCESS_START_MAX,PREV_HOUR_APPR_PROCESS_START_MAX
PREV_HOUR_APPR_PROCESS_START_MEAN,PREV_HOUR_APPR_PROCESS_START_MEAN
PREV_RATE_DOWN_PAYMENT_MAX,PREV_RATE_DOWN_PAYMENT_MAX
PREV_RATE_DOWN_PAYMENT_MEAN,PREV_RATE_DOWN_PAYMENT_MEAN
PREV_DAYS_DECISION_MIN,PREV_DAYS_DECISION_MIN
PREV_DAYS_DECISION_MAX,PREV_DAYS_DECISION_MAX
PREV_DAYS_DECISION_MEAN,PREV_DAYS_DECISION_MEAN
PREV_CNT_PAYMENT_MEAN,PREV_CNT_PAYMENT_MEAN
PREV_CNT_PAYMENT_SUM,PREV_CNT_PAYMENT_SUM
PREV_CREDIT_TO_ANNUITY_RATIO_MAX,PREV_CREDIT_TO_ANNUITY_RATIO_MAX
PREV_CREDIT_TO_ANNUITY_RATIO_MEAN,PREV_CREDIT_TO_ANNUITY_RATIO_MEAN
PREV_DOWN_PAYMENT_TO_CREDIT_MAX,PREV_DOWN_PAYMENT_TO_CREDIT_MAX
PREV_DOWN_PAYMENT_TO_CREDIT_MEAN,PREV_DOWN_PAYMENT_TO_CREDIT_MEAN
PREV_GOODS_TO_CREDIT_RATIO_MAX,PREV_GOODS_TO_CREDIT_RATIO_MAX
PREV_GOODS_TO_CREDIT_RATIO_MEAN,PREV_GOODS_TO_CREDIT_RATIO_MEAN
PREV_NAME_CONTRACT_TYPE_Cash loans_MEAN,PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN
PREV_NAME_CONTRACT_TYPE_Consumer loans_MEAN,PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN
PREV_NAME_CONTRACT_TYPE_Revolving loans_MEAN,PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,PREV_NAME_CONTRACT_TYPE_XNA_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Building a house or an annex_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Business development_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Buying a garage_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home_land_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Buying a home_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Buying a new car_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Buying a used car_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Car repairs_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Everyday expenses_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Gasification / water supply_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Gasification_water_supply_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Money for a third person_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Money_for_a_third_person_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Payments on other loans_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Refusal to name the goal_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Refusal_to_name_the_goal_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Urgent needs_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_Wedding_gift_holiday_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,PREV_NAME_CONTRACT_STATUS_Approved_MEAN
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,PREV_NAME_CONTRACT_STATUS_Canceled_MEAN
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,PREV_NAME_CONTRACT_STATUS_Refused_MEAN
PREV_NAME_CONTRACT_STATUS_Unused offer_MEAN,PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN
PREV_NAME_PAYMENT_TYPE_Cash through the bank_MEAN,PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN
PREV_NAME_PAYMENT_TYPE_Cashless from the account of the employer_MEAN,PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN
PREV_NAME_PAYMENT_TYPE_Non-cash from your account_MEAN,PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,PREV_NAME_PAYMENT_TYPE_XNA_MEAN
PREV_CODE_REJECT_REASON_CLIENT_MEAN,PREV_CODE_REJECT_REASON_CLIENT_MEAN
