,column,count,missing_count_x,missing_pct,min_value,max_value,range_value,mean_value,median_value,std_dev,coef_of_variation,p25,p75,iqr_x,skewness_x,kurtosis_x,zero_count,negative_count,q1_x,q3_x,iqr_y,lower_bound,upper_bound,outlier_count_x,outlier_percentage,dtype,non_null_count,missing_count_y,missing_rate,unique_count,mean,median,std,min,q1_y,q3_y,max,iqr,skewness_y,kurtosis_y,outlier_count_y,outlier_rate,skew_label,variance_flag,normality_pvalue,normality_label
10,APARTMENTS_AVG,151450,156061,50.7497,0.0,1.0,1.0,0.1174,0.0876,0.1082,0.9217,0.0577,0.1485,0.0908,2.6418,11.3934,751,0,0.0577,0.1485,0.0908,-0.0785,0.2847,10655,7.0353,float64,151450,156061,0.5075,2339,0.1174,0.0876,0.1082,0.0,0.0577,0.1485,1.0,0.0908,2.6418,11.3938,10655,0.0704,highly_skewed,variable,0.0,non_normal
11,APARTMENTS_MEDI,151450,156061,50.7497,0.0,1.0,1.0,0.1178,0.0864,0.1091,0.9255,0.0583,0.1489,0.0906,2.6392,11.2418,771,0,0.0583,0.1489,0.0906,-0.0776,0.2848,10728,7.0835,float64,151450,156061,0.5075,1148,0.1178,0.0864,0.1091,0.0,0.0583,0.1489,1.0,0.0906,2.6393,11.2422,10728,0.0708,highly_skewed,variable,0.0,non_normal
12,APARTMENTS_MODE,151450,156061,50.7497,0.0,1.0,1.0,0.1142,0.084,0.1079,0.9449,0.0525,0.1439,0.0914,2.703,11.7456,976,0,0.0525,0.1439,0.0914,-0.0846,0.281,10397,6.865,float64,151450,156061,0.5075,760,0.1142,0.084,0.1079,0.0,0.0525,0.1439,1.0,0.0914,2.7031,11.7461,10397,0.0686,highly_skewed,variable,0.0,non_normal
13,APPROVED_AMT_APPLICATION_MAX,290065,17446,5.6733,0.0,5850000.0,5850000.0,310972.3552,169186.5,351169.2896,1.1293,90000.0,427500.0,337500.0,2.196,6.0942,1021,0,90000.0,427500.0,337500.0,-416250.0,933750.0,20463,7.0546,float64,290065,17446,0.0567,50746,310972.3552,169186.5,351169.2896,0.0,90000.0,427500.0,5850000.0,337500.0,2.196,6.0943,20463,0.0705,highly_skewed,variable,0.0,non_normal
14,APPROVED_AMT_APPLICATION_MEAN,290065,17446,5.6733,0.0,4050000.0,4050000.0,165875.0596,113226.75,163930.1876,0.9883,66242.0587,206955.0,140712.9413,3.4891,26.5179,1021,0,66242.0588,206955.0,140712.9412,-144827.3531,418024.4119,20703,7.1374,float64,290065,17446,0.0567,168391,165875.0596,113226.75,163930.1876,0.0,66242.0588,206955.0,4050000.0,140712.9412,3.4891,26.5183,20703,0.0714,highly_skewed,variable,0.0,non_normal
15,APPROVED_AMT_CREDIT_MAX,290065,17446,5.6733,0.0,4509688.5,4509688.5,343441.0443,182218.5,380003.577,1.1065,93240.0,450000.0,356760.0,2.0383,4.9559,9,0,93240.0,450000.0,356760.0,-441900.0,985140.0,22919,7.9013,float64,290065,17446,0.0567,58928,343441.0443,182218.5,380003.577,0.0,93240.0,450000.0,4509688.5,356760.0,2.0383,4.956,22919,0.079,highly_skewed,variable,0.0,non_normal
16,APPROVED_AMT_CREDIT_MEAN,290065,17446,5.6733,0.0,4050000.0,4050000.0,183224.8128,125565.0,177106.2182,0.9666,71014.5,234893.25,163878.75,3.149,21.5322,9,0,71014.5,234893.25,163878.75,-174803.625,480711.375,18393,6.341,float64,290065,17446,0.0567,185460,183224.8128,125565.0,177106.2182,0.0,71014.5,234893.25,4050000.0,163878.75,3.1491,21.5326,18393,0.0634,highly_skewed,variable,0.0,non_normal
17,APPROVED_APP_CREDIT_PERC_MAX,290056,17455,5.6762,0.0,20.0,20.0,1.1019,1.0341,0.2905,0.2636,1.0,1.122,0.122,10.8178,370.6762,1012,0,1.0,1.122,0.122,0.817,1.305,32186,11.0965,float64,290056,17455,0.0568,145549,1.1019,1.0341,0.2905,0.0,1.0,1.122,20.0,0.122,10.8179,370.6826,32186,0.111,highly_skewed,variable,0.0,non_normal
18,APPROVED_APP_CREDIT_PERC_MEAN,290056,17455,5.6762,0.0,6.7353,6.7353,0.9731,0.9755,0.1805,0.1854,0.9099,1.0332,0.1233,1.7129,34.2823,1012,0,0.9099,1.0332,0.1233,0.7249,1.2182,31597,10.8934,float64,290056,17455,0.0568,239493,0.9731,0.9755,0.1805,0.0,0.9099,1.0332,6.7353,0.1233,1.7129,34.2829,31597,0.1089,highly_skewed,variable,0.0,non_normal
19,APPROVED_CNT_PAYMENT_MEAN,290065,17446,5.6733,0.0,72.0,72.0,13.5929,12.0,7.544,0.555,9.0,17.1429,8.1429,1.5715,4.0584,2630,0,9.0,17.1429,8.1429,-3.2143,29.3571,12394,4.2728,float64,290065,17446,0.0567,1342,13.5929,12.0,7.544,0.0,9.0,17.1429,72.0,8.1429,1.5715,4.0585,12394,0.0427,highly_skewed,variable,0.0,non_normal
20,APPROVED_CNT_PAYMENT_SUM,290065,17446,5.6733,0.0,528.0,528.0,43.2283,30.0,40.6544,0.9405,12.0,60.0,48.0,2.0656,6.2872,2630,0,12.0,60.0,48.0,-60.0,132.0,11793,4.0656,float64,290065,17446,0.0567,345,43.2283,30.0,40.6544,0.0,12.0,60.0,528.0,48.0,2.0656,6.2873,11793,0.0407,highly_skewed,variable,0.0,non_normal
21,APPROVED_DAYS_DECISION_MEAN,290065,17446,5.6733,-2922.0,-2.0,2920.0,-1031.819,-940.5,590.2617,0.5721,-1396.1667,-557.0,839.1667,-0.7661,0.142,0,290065,-1396.1667,-557.0,839.1667,-2654.9167,701.75,3480,1.1997,float64,290065,17446,0.0567,34247,-1031.819,-940.5,590.2617,-2922.0,-1396.1667,-557.0,-2.0,839.1667,-0.7661,0.142,3480,0.012,moderately_skewed,variable,0.0,non_normal
22,APPROVED_DAYS_DECISION_MIN,290065,17446,5.6733,-2922.0,-2.0,2920.0,-1530.5713,-1490.0,862.8679,0.5638,-2379.0,-720.0,1659.0,-0.0645,-1.4117,0,290065,-2379.0,-720.0,1659.0,-4867.5,1768.5,0,0.0,float64,290065,17446,0.0567,2921,-1530.5713,-1490.0,862.8679,-2922.0,-2379.0,-720.0,-2.0,1659.0,-0.0645,-1.4117,0,0.0,approximately_symmetric,variable,0.0,non_normal
23,APPROVED_SK_ID_PREV_NUNIQUE,290065,17446,5.6733,1.0,27.0,26.0,3.0548,3.0,2.1207,0.6942,1.0,4.0,3.0,1.5934,3.902,0,0,1.0,4.0,3.0,-3.5,8.5,7052,2.4312,float64,290065,17446,0.0567,25,3.0548,3.0,2.1207,1.0,1.0,4.0,27.0,3.0,1.5934,3.902,7052,0.0243,highly_skewed,variable,0.0,non_normal
24,APP_ADDRESS_MISMATCH_COUNT,307511,0,0.0,0.0,6.0,6.0,0.5948,0.0,1.0846,1.8237,0.0,2.0,2.0,1.7178,2.3307,228354,0,0.0,2.0,2.0,-3.0,5.0,329,0.107,int64,307511,0,0.0,7,0.5948,0.0,1.0846,0.0,0.0,2.0,6.0,2.0,1.7179,2.3307,329,0.0011,highly_skewed,variable,0.0,non_normal
25,APP_ANNUITY_INCOME_RATIO,307499,12,0.0039,0.0002,1.876,1.8757,0.1809,0.1628,0.0946,0.5227,0.1148,0.2291,0.1143,1.512,5.4514,0,0,0.1148,0.2291,0.1143,-0.0566,0.4005,7878,2.562,float64,307499,12,0.0,88811,0.1809,0.1628,0.0946,0.0002,0.1148,0.2291,1.876,0.1143,1.512,5.4515,7878,0.0256,highly_skewed,variable,0.0,non_normal
26,APP_CAR_BIRTH_RATIO,104582,202929,65.9908,-0.0092,-0.0,0.0092,-0.0009,-0.0006,0.001,1.1176,-0.0011,-0.0003,0.0007,-3.6124,17.5616,2134,102448,-0.0011,-0.0003,0.0007,-0.0022,0.0008,5265,5.0343,float64,104582,202929,0.6599,78396,-0.0009,-0.0006,0.001,-0.0092,-0.0011,-0.0003,-0.0,0.0007,-3.6124,17.5625,5265,0.0503,highly_skewed,variable,0.0,non_normal
27,APP_CONTACT_COUNT,307511,0,0.0,1.0,6.0,5.0,3.3552,3.0,0.8653,0.2579,3.0,4.0,1.0,0.5557,-0.0866,0,0,3.0,4.0,1.0,1.5,5.5,2019,0.6566,int64,307511,0,0.0,6,3.3552,3.0,0.8653,1.0,3.0,4.0,6.0,1.0,0.5557,-0.0866,2019,0.0066,moderately_skewed,variable,0.0,non_normal
28,APP_CREDIT_ANNUITY_RATIO,307499,12,0.0039,8.0367,45.3051,37.2684,21.6123,20.0,7.8238,0.362,15.6145,27.1,11.4855,0.3047,-0.7826,0,0,15.6145,27.1,11.4855,-1.6137,44.3282,17,0.0055,float64,307499,12,0.0,39539,21.6123,20.0,7.8238,8.0367,15.6145,27.1,45.3051,11.4855,0.3047,-0.7826,17,0.0001,approximately_symmetric,variable,0.0,non_normal
29,APP_CREDIT_INCOME_RATIO,307511,0,0.0,0.0048,84.7368,84.732,3.9576,3.2651,2.6897,0.6796,2.0187,5.1599,3.1412,1.8359,8.3716,0,0,2.0187,5.1599,3.1412,-2.6932,9.8717,11510,3.743,float64,307511,0,0.0,48697,3.9576,3.2651,2.6897,0.0048,2.0187,5.1599,84.7368,3.1412,1.836,8.3718,11510,0.0374,highly_skewed,variable,0.0,non_normal
30,APP_DOCUMENT_COUNT,307511,0,0.0,0.0,4.0,4.0,0.9302,1.0,0.3443,0.3701,1.0,1.0,0.0,-1.0146,5.1807,29549,0,1.0,1.0,0.0,1.0,1.0,37455,12.1801,int64,307511,0,0.0,5,0.9302,1.0,0.3443,0.0,1.0,1.0,4.0,0.0,-1.0146,5.1808,0,0.0,highly_skewed,variable,0.0,non_normal
31,APP_EMPLOYED_BIRTH_RATIO,252137,55374,18.0072,-0.0,0.7288,0.7288,0.1569,0.1187,0.1335,0.8514,0.0561,0.2192,0.1631,1.3474,1.5926,2,0,0.0561,0.2192,0.1631,-0.1885,0.4638,10760,4.2675,float64,252137,55374,0.1801,249434,0.1569,0.1187,0.1335,-0.0,0.0561,0.2192,0.7288,0.1631,1.3474,1.5926,10760,0.0427,highly_skewed,variable,0.0,non_normal
32,APP_EXT_SOURCE_MAX,307339,172,0.0559,0.0,0.9627,0.9627,0.6159,0.6485,0.1561,0.2535,0.5407,0.7253,0.1846,-1.0659,1.1721,0,0,0.5407,0.7253,0.1846,0.2637,1.0022,11713,3.8111,float64,307339,172,0.0006,121113,0.6159,0.6485,0.1561,0.0,0.5407,0.7253,0.9627,0.1846,-1.0659,1.1721,11713,0.0381,highly_skewed,variable,0.0,non_normal
33,APP_EXT_SOURCE_MEAN,307339,172,0.0559,0.0,0.8789,0.8789,0.5093,0.5245,0.1498,0.2942,0.4136,0.6228,0.2092,-0.5295,-0.0619,0,0,0.4136,0.6228,0.2092,0.0999,0.9366,2652,0.8629,float64,307339,172,0.0006,300347,0.5093,0.5245,0.1498,0.0,0.4136,0.6228,0.8789,0.2092,-0.5295,-0.0619,2652,0.0086,moderately_skewed,variable,0.0,non_normal
34,APP_EXT_SOURCE_MIN,307339,172,0.0559,0.0,0.8789,0.8789,0.3996,0.4032,0.1874,0.4691,0.254,0.553,0.2991,-0.0838,-0.93,0,0,0.254,0.553,0.2991,-0.1946,1.0016,0,0.0,float64,307339,172,0.0006,139146,0.3996,0.4032,0.1874,0.0,0.254,0.553,0.8789,0.2991,-0.0838,-0.93,0,0.0,approximately_symmetric,variable,0.0,non_normal
35,APP_EXT_SOURCE_STD,270602,36909,12.0025,0.0,0.6519,0.6519,0.1512,0.136,0.0999,0.6606,0.0724,0.2144,0.142,0.7364,0.2028,0,0,0.0724,0.2144,0.142,-0.1406,0.4274,2770,1.0236,float64,270602,36909,0.12,269867,0.1512,0.136,0.0999,0.0,0.0724,0.2144,0.6519,0.142,0.7364,0.2028,2770,0.0102,moderately_skewed,variable,0.0,non_normal
36,APP_GOODS_CREDIT_RATIO,307233,278,0.0904,0.1667,6.6667,6.5,0.9007,0.8938,0.0966,0.1073,0.8347,1.0,0.1653,2.6669,120.1621,0,0,0.8347,1.0,0.1653,0.5868,1.2479,244,0.0794,float64,307233,278,0.0009,3066,0.9007,0.8938,0.0966,0.1667,0.8347,1.0,6.6667,0.1653,2.6669,120.1641,244,0.0008,highly_skewed,variable,0.0,non_normal
37,APP_INCOME_PER_PERSON,307509,2,0.0007,2812.5,39000000.0,38997187.5,93105.8796,75000.0,101373.3634,1.0888,47250.0,112500.0,65250.0,187.3664,70683.0159,0,0,47250.0,112500.0,65250.0,-50625.0,210375.0,17410,5.6616,float64,307509,2,0.0,3064,93105.8796,75000.0,101373.3634,2812.5,47250.0,112500.0,39000000.0,65250.0,187.3673,70684.1652,17410,0.0566,highly_skewed,variable,0.0,non_normal
38,APP_MISSING_COUNT,307511,0,0.0,0.0,66.0,66.0,31.0859,38.0,21.0403,0.6768,7.0,50.0,43.0,-0.2432,-1.6323,8602,0,7.0,50.0,43.0,-57.5,114.5,0,0.0,int64,307511,0,0.0,67,31.0859,38.0,21.0403,0.0,7.0,50.0,66.0,43.0,-0.2432,-1.6323,0,0.0,approximately_symmetric,variable,0.0,non_normal
39,APP_MISSING_RATIO,307511,0,0.0,0.0,0.4714,0.4714,0.222,0.2714,0.1503,0.6768,0.05,0.3571,0.3071,-0.2432,-1.6323,8602,0,0.05,0.3571,0.3071,-0.4107,0.8179,0,0.0,float64,307511,0,0.0,67,0.222,0.2714,0.1503,0.0,0.05,0.3571,0.4714,0.3071,-0.2432,-1.6323,0,0.0,approximately_symmetric,variable,0.0,non_normal
40,APP_PHONE_BIRTH_RATIO,307510,1,0.0003,-0.0,0.3614,0.3614,0.0631,0.0506,0.0559,0.8858,0.0171,0.0981,0.081,0.9255,0.4416,37672,0,0.0171,0.0981,0.081,-0.1044,0.2196,3620,1.1772,float64,307510,1,0.0,264924,0.0631,0.0506,0.0559,-0.0,0.0171,0.0981,0.3614,0.081,0.9255,0.4416,3620,0.0118,moderately_skewed,variable,0.0,non_normal
41,APP_PHONE_EMPLOYED_RATIO,252134,55377,18.0081,-0.0,1784.0,1784.0,1.0991,0.4435,4.9591,4.512,0.1306,0.9195,0.789,206.2211,68343.9351,28888,0,0.1306,0.9195,0.789,-1.0529,2.103,28891,11.4586,float64,252134,55377,0.1801,205138,1.0991,0.4435,4.9591,-0.0,0.1306,0.9195,1784.0,0.789,206.2223,68345.2904,28891,0.1146,highly_skewed,variable,0.0,non_normal
42,BASEMENTAREA_AVG,127568,179943,58.516,0.0,1.0,1.0,0.0884,0.0763,0.0824,0.9321,0.0442,0.1122,0.068,3.5663,25.9291,14745,0,0.0442,0.1122,0.068,-0.0578,0.2142,7190,5.6362,float64,127568,179943,0.5852,3780,0.0884,0.0763,0.0824,0.0,0.0442,0.1122,1.0,0.068,3.5663,25.9301,7190,0.0564,highly_skewed,variable,0.0,non_normal
43,BASEMENTAREA_MEDI,127568,179943,58.516,0.0,1.0,1.0,0.088,0.0758,0.0822,0.9343,0.0437,0.1116,0.0679,3.553,25.8287,14991,0,0.0437,0.1116,0.0679,-0.0581,0.2134,7188,5.6346,float64,127568,179943,0.5852,3772,0.088,0.0758,0.0822,0.0,0.0437,0.1116,1.0,0.0679,3.553,25.8298,7188,0.0563,highly_skewed,variable,0.0,non_normal
44,BASEMENTAREA_MODE,127568,179943,58.516,0.0,1.0,1.0,0.0875,0.0746,0.0843,0.963,0.0407,0.1124,0.0717,3.4815,24.4302,16598,0,0.0407,0.1124,0.0717,-0.0669,0.22,6910,5.4167,float64,127568,179943,0.5852,3841,0.0875,0.0746,0.0843,0.0,0.0407,0.1124,1.0,0.0717,3.4815,24.4312,6910,0.0542,highly_skewed,variable,0.0,non_normal
45,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,206514,100997,32.8434,-1395766.098,83624582.8013,85020348.8993,377157.5166,147523.5,940062.7222,2.4925,48129.75,359028.5625,310898.8125,15.2182,637.624,21660,1091,48129.75,359028.5625,310898.8125,-418218.4688,825376.7812,20369,9.8633,float64,206514,100997,0.3284,158599,377157.5166,147523.5,940062.7222,-1395766.098,48129.75,359028.5625,83624582.8013,310898.8125,15.2183,637.6394,20369,0.0986,highly_skewed,variable,0.0,non_normal
46,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,217150,90361,29.3846,-6978830.49,334498331.205,341477161.695,765096.5367,276048.0,1753502.707,2.2919,55712.1375,816669.5625,760957.425,37.8122,6137.7724,32296,1091,55712.1375,816669.5625,760957.425,-1085724.0,1958105.7,20081,9.2475,float64,217150,90361,0.2938,153496,765096.5367,276048.0,1753502.707,-6978830.49,55712.1375,816669.5625,334498331.205,760957.425,37.8124,6137.9137,20081,0.0925,highly_skewed,variable,0.0,non_normal
47,BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN,217149,90362,29.385,0.0,90034675.5,90034675.5,564073.1126,274500.0,1112507.0233,1.9723,136125.0,575354.25,439229.25,14.6241,605.0693,3078,0,136125.0,575354.25,439229.25,-522718.875,1234198.125,20980,9.6616,float64,217149,90362,0.2938,99483,564073.1126,274500.0,1112507.0233,0.0,136125.0,575354.25,90034675.5,439229.25,14.6242,605.0833,20980,0.0966,highly_skewed,variable,0.0,non_normal
48,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,217150,90361,29.3846,0.0,3681063.0,3681063.0,103.9714,0.0,11019.759,105.9884,0.0,0.0,0.0,231.2969,65667.9132,213970,0,0.0,0.0,0.0,0.0,0.0,3180,1.4644,float64,217150,90361,0.2938,1557,103.9714,0.0,11019.759,0.0,0.0,0.0,3681063.0,0.0,231.2985,65669.4253,0,0.0,highly_skewed,variable,0.0,non_normal
49,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM,217150,90361,29.3846,0.0,3756681.0,3756681.0,236.7282,0.0,16606.9479,70.152,0.0,0.0,0.0,152.8079,28608.9334,213970,0,0.0,0.0,0.0,0.0,0.0,3180,1.4644,float64,217150,90361,0.2938,1197,236.7282,0.0,16606.9479,0.0,0.0,0.0,3756681.0,0.0,152.8089,28609.5922,0,0.0,highly_skewed,variable,0.0,non_normal
50,BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,217150,90361,29.3846,0.0,334739700.0,334739700.0,1311231.0008,647924.4,2365917.5184,1.8043,234000.0,1525499.46,1291499.46,27.1161,2810.4556,3079,0,234000.0,1525499.46,1291499.46,-1703249.19,3462748.65,17751,8.1745,float64,217150,90361,0.2938,95921,1311231.0008,647924.4,2365917.5184,0.0,234000.0,1525499.46,334739700.0,1291499.46,27.1163,2810.5203,17751,0.0817,highly_skewed,variable,0.0,non_normal
51,BUREAU_ACTIVE_DAYS_CREDIT_MAX,217150,90361,29.3846,-2922.0,0.0,2922.0,-416.9322,-258.0,471.0662,1.1298,-514.0,-126.0,388.0,-2.5276,7.7294,3,217147,-514.0,-126.0,388.0,-1096.0,456.0,17347,7.9885,float64,217150,90361,0.2938,2907,-416.9322,-258.0,471.0662,-2922.0,-514.0,-126.0,0.0,388.0,-2.5276,7.7296,17347,0.0799,highly_skewed,variable,0.0,non_normal
52,BUREAU_ACTIVE_DAYS_CREDIT_MEAN,217150,90361,29.3846,-2922.0,0.0,2922.0,-650.7898,-537.3095,495.7376,0.7617,-871.5,-294.425,577.075,-1.5833,3.3565,1,217149,-871.5,-294.425,577.075,-1737.1125,571.1875,7758,3.5726,float64,217150,90361,0.2938,20978,-650.7898,-537.3095,495.7376,-2922.0,-871.5,-294.425,0.0,577.075,-1.5833,3.3566,7758,0.0357,highly_skewed,variable,0.0,non_normal
53,BUREAU_ACTIVE_DAYS_CREDIT_MIN,217150,90361,29.3846,-2922.0,0.0,2922.0,-938.2148,-764.0,722.5796,0.7702,-1313.0,-366.0,947.0,-1.0038,0.2834,1,217149,-1313.0,-366.0,947.0,-2733.5,1054.5,5570,2.565,float64,217150,90361,0.2938,2922,-938.2148,-764.0,722.5796,-2922.0,-1313.0,-366.0,0.0,947.0,-1.0038,0.2835,5570,0.0257,highly_skewed,variable,0.0,non_normal
54,BUREAU_AMT_ANNUITY_MAX,80009,227502,73.9817,0.0,59586682.5,59586682.5,34838.4465,12491.19,514661.275,14.7728,450.0,27004.5,26554.5,87.2256,8815.3712,19737,0,450.0,27004.5,26554.5,-39381.75,66836.25,4882,6.1018,float64,80009,227502,0.7398,23582,34838.4465,12491.19,514661.275,0.0,450.0,27004.5,59586682.5,26554.5,87.2272,8815.9222,4882,0.061,highly_skewed,variable,0.0,non_normal
55,BUREAU_AMT_ANNUITY_MEAN,80009,227502,73.9817,0.0,27282428.7525,27282428.7525,16052.2473,6494.1621,170501.5626,10.6217,242.7632,15150.015,14907.2518,104.9236,14183.7344,19737,0,242.7632,15150.015,14907.2518,-22118.1146,37510.8928,5331,6.663,float64,80009,227502,0.7398,40563,16052.2473,6494.1621,170501.5626,0.0,242.7632,15150.015,27282428.7525,14907.2518,104.9256,14184.6209,5331,0.0666,highly_skewed,variable,0.0,non_normal
56,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,183886,123625,40.2018,0.0,115987185.0,115987185.0,9396.2256,0.0,367963.5743,39.1608,0.0,5928.7612,5928.7612,265.9243,77719.081,113446,0,0.0,5928.7612,5928.7612,-8893.1419,14821.9031,20126,10.9448,float64,183886,123625,0.402,44798,9396.2256,0.0,367963.5743,0.0,0.0,5928.7612,115987185.0,5928.7612,265.9265,77721.1943,20126,0.1094,highly_skewed,variable,0.0,non_normal
57,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,183886,123625,40.2018,0.0,115987185.0,115987185.0,5242.425,0.0,306408.2496,58.4478,0.0,2124.0,2124.0,318.2773,114889.9773,113446,0,0.0,2124.0,2124.0,-3186.0,5310.0,25423,13.8254,float64,183886,123625,0.402,55265,5242.425,0.0,306408.2496,0.0,0.0,2124.0,115987185.0,2124.0,318.2799,114893.1013,25423,0.1383,highly_skewed,variable,0.0,non_normal
58,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,256131,51380,16.7083,-25959.645,170100000.0,170125959.645,521627.494,149458.5,1343224.4386,2.5751,0.0,495000.0,495000.0,16.1592,1147.385,70847,85,0.0,495000.0,495000.0,-742500.0,1237500.0,25756,10.0558,float64,256131,51380,0.1671,138943,521627.494,149458.5,1343224.4386,-25959.645,0.0,495000.0,170100000.0,495000.0,16.1593,1147.4074,25756,0.1006,highly_skewed,variable,0.0,non_normal
59,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,256131,51380,16.7083,-1083614.67,43650000.0,44733614.67,160390.077,44208.035,526650.079,3.2836,0.0,142136.25,142136.25,19.609,852.6462,69689,1296,0.0,142136.25,142136.25,-213204.375,355340.625,25083,9.793,float64,256131,51380,0.1671,169324,160390.077,44208.035,526650.079,-1083614.67,0.0,142136.25,43650000.0,142136.25,19.6092,852.6628,25083,0.0979,highly_skewed,variable,0.0,non_normal
