,column,dtype,non_null_count,missing_count_x,missing_pct,cardinality_count,cardinality_group,high_cardinality_flag,very_high_cardinality_flag,potential_id_flag,numeric_categorical_flag,encoding_recommendation,sample_values,unique_count,missing_count_y,missing_percentage,top_category,top_category_percentage,rare_category_count,rare_category_percentage,rare_grouping_recommended,category_distribution_balance,normalized_entropy,high_cardinality,unseen_category_risk,unseen_category_count,unseen_category_ratio,unseen_categories,potential_typos,train_category_count,test_category_count,train_top_categories,test_top_categories
10,APARTMENTS_AVG,float64,151450,156061,50.75,2339,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0247', '0.0072', '0.1995', '0.2024', '0.421']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
11,APARTMENTS_MEDI,float64,151450,156061,50.75,1148,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.025', '0.1301', '0.3716', '0.1868', '0.6714']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
12,APARTMENTS_MODE,float64,151450,156061,50.75,760,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0252', '0.4191', '0.4874', '0.7983', '0.7658']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
13,APPROVED_AMT_APPLICATION_MAX,float64,290065,17446,5.67,50746,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['179055.0', '178884.0', '28935.0', '168889.5', '80415.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
14,APPROVED_AMT_APPLICATION_MEAN,float64,290065,17446,5.67,168391,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['179055.0', '170671.5', '78561.0', '153983.25', '87665.625']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
15,APPROVED_AMT_CREDIT_MAX,float64,290065,17446,5.67,58928,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['179055.0', '75073.5', '95202.0', '52344.0', '76401.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
16,APPROVED_AMT_CREDIT_MEAN,float64,290065,17446,5.67,185460,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['179055.0', '973560.0', '155124.0', '562644.0', '173697.75']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
17,APPROVED_APP_CREDIT_PERC_MAX,float64,290056,17455,5.68,145549,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['1.0', '0.9629041360362368', '1.1111636210880067', '1.0587974875132435', '1.0212547577299749']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
18,APPROVED_APP_CREDIT_PERC_MEAN,float64,290056,17455,5.68,239493,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['1.0', '1.42040043144491', '0.9173615936993282', '1.011629340987349', '0.6772943516077534']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
19,APPROVED_CNT_PAYMENT_MEAN,float64,290065,17446,5.67,1342,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['24.0', '7.666666666666667', '6.428571428571429', '13.125', '20.125']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
20,APPROVED_CNT_PAYMENT_SUM,float64,290065,17446,5.67,345,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['24.0', '8.0', '276.0', '227.0', '249.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
21,APPROVED_DAYS_DECISION_MEAN,float64,290065,17446,5.67,34247,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-606.0', '-690.8', '-1449.5555555555557', '-1643.375', '-1942.857142857143']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
22,APPROVED_DAYS_DECISION_MIN,float64,290065,17446,5.67,2921,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-606.0', '-2614.0', '-459.0', '-2020.0', '-286.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
23,APPROVED_SK_ID_PREV_NUNIQUE,float64,290065,17446,5.67,25,medium_cardinality,False,False,False,True,"target_encoding, leave_as_integer, or one_hot_if_dense","['1.0', '7.0', '10.0', '16.0', '20.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
24,APP_ADDRESS_MISMATCH_COUNT,int64,307511,0,0.0,7,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['0', '2', '4', '1', '3']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
25,APP_ANNUITY_INCOME_RATIO,float64,307499,12,0.0,88811,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1219777777777777', '0.3565833333333333', '0.1024347826086956', '0.3077111111111111', '0.2358285714285714']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
26,APP_CAR_BIRTH_RATIO,float64,104582,202929,65.99,78396,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-0.0013651160348629', '-0.0001412429378531', '-0.0007260281076595', '-0.001058705203536', '-0.0002031832035218']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
27,APP_CONTACT_COUNT,int64,307511,0,0.0,6,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['4', '5', '3', '2', '6']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
28,APP_CREDIT_ANNUITY_RATIO,float64,307499,12,0.0,39539,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['16.46110402623429', '26.269979852249836', '19.62181818181818', '37.92418772563177', '17.10831234256927']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
29,APP_CREDIT_INCOME_RATIO,float64,307511,0,0.0,48697,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['2.007888888888889', '8.24224', '8.3346', '10.834966666666666', '4.805115384615385']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
30,APP_DOCUMENT_COUNT,int64,307511,0,0.0,5,low_cardinality,False,False,False,True,one_hot_encoding or label_encoding,"['1', '0', '2', '3', '4']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
31,APP_EMPLOYED_BIRTH_RATIO,float64,252137,55374,18.01,249434,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0673290349857309', '0.1218613820294667', '0.3567809491639925', '0.2129157314833707', '0.2493319630010277']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
32,APP_EXT_SOURCE_MAX,float64,307339,172,0.06,121113,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.2629485927471776', '0.8531169206928536', '0.8626954942089866', '0.7376514560067302', '0.7240146555958384']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
33,APP_EXT_SOURCE_MEAN,float64,307339,172,0.06,300347,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1617871134127632', '0.560550068258009', '0.5274694169892209', '0.2621989857615305', '0.1324277285475518']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
34,APP_EXT_SOURCE_MIN,float64,307339,172,0.06,139146,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0830369673913225', '0.4989000921899073', '0.1482089507497838', '0.4847321253197021', '0.5317654413648083']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
35,APP_EXT_SOURCE_STD,float64,270602,36909,12.0,269867,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.092025806870656', '0.1663043791123114', '0.1596955590581207', '0.0280636392340753', '0.0720270867249529']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
36,APP_GOODS_CREDIT_RATIO,float64,307233,278,0.09,3066,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.8632615793259919', '0.8256251661745567', '0.9132090617396972', '0.7594147962561499', '0.920977251136718']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
37,APP_INCOME_PER_PERSON,float64,307509,2,0.0,3064,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['202500.0', '86850.0', '145350.0', '886500.0', '82867.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
38,APP_MISSING_COUNT,int64,307511,0,0.0,67,high_cardinality,True,False,False,True,"target_encoding, frequency_encoding, or hash_encoding","['2', '7', '5', '37', '57']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
39,APP_MISSING_RATIO,float64,307511,0,0.0,67,high_cardinality,True,False,False,True,"target_encoding, frequency_encoding, or hash_encoding","['0.0142857142857142', '0.05', '0.0357142857142857', '0.2642857142857143', '0.4071428571428571']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
40,APP_PHONE_BIRTH_RATIO,float64,307510,1,0.0,264924,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1198604798647077', '0.2231226918342224', '0.0460508843681946', '0.0449674577608309', '0.0637067742991163']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
41,APP_PHONE_EMPLOYED_RATIO,float64,252134,55377,18.01,205138,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['1.78021978021978', '0.1085714285714285', '0.1090664272890484', '0.0274991912002588', '0.8051052086926527']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
42,BASEMENTAREA_AVG,float64,127568,179943,58.52,3780,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0369', '0.0391', '0.1505', '0.2854', '0.2227']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
43,BASEMENTAREA_MEDI,float64,127568,179943,58.52,3772,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0369', '0.102', '0.1672', '0.3367', '0.2497']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
44,BASEMENTAREA_MODE,float64,127568,179943,58.52,3841,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0383', '0.1142', '0.0066', '0.2718', '0.4255']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
45,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,float64,206514,100997,32.84,158599,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['122890.5', '28275.75', '351000.0', '6566449.5', '234065.25']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
46,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,float64,217150,90361,29.38,153496,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['245781.0', '459904.86', '5380789.5', '247265.685', '470043.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
47,BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN,float64,217149,90362,29.38,99483,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['240994.2825', '569820.0', '191524.5', '1567579.37625', '140732.52']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
48,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,float64,217150,90361,29.38,1557,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '443.295', '781.5', '293.49', '630.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
49,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM,float64,217150,90361,29.38,1197,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '18040.5', '37.035', '18054.0', '574.11']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
50,BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,float64,217150,90361,29.38,95921,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['481988.565', '358798.5', '2774133.0', '495732.78', '719865.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
51,BUREAU_ACTIVE_DAYS_CREDIT_MAX,float64,217150,90361,29.38,2907,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-103.0', '-403.0', '-970.0', '-2411.0', '-1523.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
52,BUREAU_ACTIVE_DAYS_CREDIT_MEAN,float64,217150,90361,29.38,20978,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-572.5', '-336.75', '-1052.25', '-245.4', '-1229.4']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
53,BUREAU_ACTIVE_DAYS_CREDIT_MIN,float64,217150,90361,29.38,2922,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-1042.0', '-1427.0', '-1237.0', '-2400.0', '-2693.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
54,BUREAU_AMT_ANNUITY_MAX,float64,80009,227502,73.98,23582,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '4050.0', '37881.0', '4343.985', '2508.39']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
55,BUREAU_AMT_ANNUITY_MEAN,float64,80009,227502,73.98,40563,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '65250.0', '11756.997', '34748.835', '31990.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
56,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,float64,183886,123625,40.2,44798,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['5043.645', '22882.5', '12739.5', '2883.15', '16518.69']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
57,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,float64,183886,123625,40.2,55265,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['1681.029', '12980.25', '1630.5075', '73.00800000000001', '531.7425']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
58,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,float64,256131,51380,16.71,138943,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['245781.0', '194620.5', '2153074.5', '185229.0', '797575.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
59,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,float64,256131,51380,16.71,169324,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['49156.2', '98632.5', '3464892.0', '64177.45392857144', '122510.25']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
60,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,float64,263491,44020,14.31,154999,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['245781.0', '278208.0', '432130.5', '108360.0', '167517.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
61,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,float64,242442,65069,21.16,34311,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['31988.565', '329151.87', '58455.0', '391078.755', '5827.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
62,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,float64,242442,65069,21.16,38928,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['7997.14125', '33504.75', '2093.27', '4064.9025', '885.7221428571429']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
63,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,float64,263491,44020,14.31,37278,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['31988.565', '131321.205', '683.865', '52049.7', '159499.53']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
64,BUREAU_AMT_CREDIT_SUM_MAX,float64,263490,44021,14.32,65160,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['450000.0', '42484.5', '2609302.5', '1932120.0', '165212.91']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
65,BUREAU_AMT_CREDIT_SUM_MEAN,float64,263490,44021,14.32,209581,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['108131.945625', '151350.345', '128355.0', '56641.5', '664159.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
66,BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,float64,263491,44020,14.31,1203,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '12024.0', '14445.0', '18054.0', '11875.5']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
67,BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,float64,263491,44020,14.31,1872,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '7545.5', '21.857142857142858', '2092.5', '22407.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
68,BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,float64,263491,44020,14.31,1218,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '9099.0', '14445.0', '19408.5', '40910.625']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
69,BUREAU_AMT_CREDIT_SUM_SUM,float64,263491,44020,14.31,205630,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['865055.565', '1044722.295', '581160.78', '1341332.325', '1273239.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
70,BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,float64,92231,215280,70.01,3958,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-15.5', '-27.75', '-4.1', '-21.53846153846154', '-18.764705882352946']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
71,BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,float64,92231,215280,70.01,5715,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['-28.25', '-16.625', '-66.57142857142857', '-51.36363636363637', '-17.44']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
72,BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN,float64,92231,215280,70.01,5673,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['13.75', '15.545454545454543', '53.90909090909091', '28.176470588235293', '41.59090909090909']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
73,BUREAU_BB_STATUS_0_MEAN_MEAN,float64,92231,215280,70.01,60195,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.4069602272727273', '0.3993930905695611', '0.5890688259109311', '0.1410138248847926', '0.3790598290598291']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
74,BUREAU_BB_STATUS_1_MEAN_MEAN,float64,92231,215280,70.01,13162,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.2556818181818182', '0.0377272727272727', '0.0335353535353535', '0.049537037037037', '0.0667569786535303']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
75,BUREAU_BB_STATUS_2_MEAN_MEAN,float64,92231,215280,70.01,2759,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '0.0053649749373433', '0.002219755826859', '0.0722002635046113', '0.0046082949308755']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
76,BUREAU_BB_STATUS_3_MEAN_MEAN,float64,92231,215280,70.01,1455,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '0.0221408221408221', '0.0040322580645161', '0.0454545454545454', '0.0188914027149321']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
77,BUREAU_BB_STATUS_4_MEAN_MEAN,float64,92231,215280,70.01,1122,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '0.0027548209366391', '0.0245408009635651', '0.0227732793522267', '0.0127579365079365']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
78,BUREAU_BB_STATUS_5_MEAN_MEAN,float64,92231,215280,70.01,1632,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '0.3780501089324619', '0.0164609053497942', '0.0206456456456456', '0.040099839185205']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
79,BUREAU_BB_STATUS_BAD_FLAG_MEAN_MEAN,float64,92231,215280,70.01,14129,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.2556818181818182', '0.0651515151515151', '0.0112612612612612', '0.0049939951357582', '0.0197628458498023']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
80,BUREAU_BB_STATUS_BAD_FLAG_SUM_MEAN,float64,92231,215280,70.01,907,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['3.375', '37.0', '5.2', '0.1851851851851851', '45.0']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
81,BUREAU_BB_STATUS_C_FLAG_MEAN_MEAN,float64,92231,215280,70.01,50576,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1754261363636363', '0.6415521543605035', '0.4701522435897436', '0.4422604422604422', '0.4305338850939986']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
82,BUREAU_BB_STATUS_C_MEAN_MEAN,float64,92231,215280,70.01,50576,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1754261363636363', '0.6415521543605035', '0.4701522435897436', '0.4422604422604422', '0.4305338850939986']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
83,BUREAU_BB_STATUS_X_FLAG_MEAN_MEAN,float64,92231,215280,70.01,40979,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1619318181818181', '0.1577515015015015', '0.1208791208791208', '0.2192192192192192', '0.0958022075226851']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
84,BUREAU_BB_STATUS_X_MEAN_MEAN,float64,92231,215280,70.01,40979,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.1619318181818181', '0.1577515015015015', '0.1208791208791208', '0.2192192192192192', '0.0958022075226851']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
85,BUREAU_BB_STATUS_ZERO_FLAG_MEAN_MEAN,float64,92231,215280,70.01,60195,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.4069602272727273', '0.3993930905695611', '0.5890688259109311', '0.1410138248847926', '0.3790598290598291']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
86,BUREAU_BB_STATUS_nan_MEAN_MEAN,float64,92231,215280,70.01,1,single_category,False,False,False,False,drop_column (constant),['0.0'],,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
87,BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MAX,float64,254877,52634,17.12,150668,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.54618', '0.9209329352743318', '0.6823680315737544', '0.8131828278707104', '0.292525']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
88,BUREAU_BUREAU_DEBT_CREDIT_RATIO_RAW_MEAN,float64,254877,52634,17.12,179453,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.136545', '0.3282523148148148', '0.2805041552703821', '0.3202782930597492', '0.0677489333333333']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
89,BUREAU_BUREAU_OVERDUE_DEBT_RATIO_RAW_MAX,float64,186442,121069,39.37,2197,very_high_cardinality,True,True,False,False,"target_encoding, hash_encoding, or embedding_layer","['0.0', '0.0982148799936103', '0.0796624562148392', '0.1331300075036913', '0.3333333333333333']",,,,,,,,,,,,False,0.0,0.0,,,0.0,0.0,,
