,column,dtype,non_null_count_x,unique_count,unique_percentage,duplicate_count,duplicate_value_ratio,constant_flag,top_value_percentage,quasi_constant_flag,top_value,top_value_count,top_values_preview,non_null_count_y,dominant_value,dominant_value_pct,second_dominant_value,second_dominant_pct,top_values,suspicious_uniformity_flag,dominance_note
10,APARTMENTS_AVG,float64,151450,2339,1.54,149111,98.46,False,4.4,False,0.0825,6663,"[(np.float64(0.0825), 6663), (np.float64(0.0619), 6332), (np.float64(0.0928), 4404)]",151450,0.0825,4.4,0.0619,4.18,"[('0.0825', 4.4), ('0.0619', 4.18), ('0.0928', 2.91)]",False,Most frequent dominates with 4.4%
11,APARTMENTS_MEDI,float64,151450,1148,0.76,150302,99.24,False,4.69,False,0.0833,7109,"[(np.float64(0.0833), 7109), (np.float64(0.0625), 6687), (np.float64(0.0937), 4622)]",151450,0.0833,4.69,0.0625,4.42,"[('0.0833', 4.69), ('0.0625', 4.42), ('0.0937', 3.05)]",False,Most frequent dominates with 4.69%
12,APARTMENTS_MODE,float64,151450,760,0.5,150690,99.5,False,4.97,False,0.084,7522,"[(np.float64(0.084), 7522), (np.float64(0.063), 7451), (np.float64(0.0945), 4757)]",151450,0.084,4.97,0.063,4.92,"[('0.084', 4.97), ('0.063', 4.92), ('0.0945', 3.14)]",False,Most frequent dominates with 4.97%
13,APPROVED_AMT_APPLICATION_MAX,float64,290065,50746,17.49,239319,82.51,False,4.28,False,450000.0,12407,"[(np.float64(450000.0), 12407), (np.float64(225000.0), 9682), (np.float64(675000.0), 7140)]",290065,450000.0,4.28,225000.0,3.34,"[('450000.0', 4.28), ('225000.0', 3.34), ('675000.0', 2.46)]",False,Most frequent dominates with 4.28%
14,APPROVED_AMT_APPLICATION_MEAN,float64,290065,168391,58.05,121674,41.95,False,0.5,False,135000.0,1461,"[(np.float64(135000.0), 1461), (np.float64(225000.0), 1439), (np.float64(45000.0), 1397)]",290065,135000.0,0.5,225000.0,0.5,"[('135000.0', 0.5), ('225000.0', 0.5), ('45000.0', 0.48)]",False,Most frequent dominates with 0.5%
15,APPROVED_AMT_CREDIT_MAX,float64,290065,58928,20.32,231137,79.68,False,2.19,False,450000.0,6347,"[(np.float64(450000.0), 6347), (np.float64(180000.0), 3789), (np.float64(225000.0), 3657)]",290065,450000.0,2.19,180000.0,1.31,"[('450000.0', 2.19), ('180000.0', 1.31), ('225000.0', 1.26)]",False,Most frequent dominates with 2.19%
16,APPROVED_AMT_CREDIT_MEAN,float64,290065,185460,63.94,104605,36.06,False,0.3,False,45000.0,865,"[(np.float64(45000.0), 865), (np.float64(135000.0), 559), (np.float64(225000.0), 472)]",290065,45000.0,0.3,135000.0,0.19,"[('45000.0', 0.3), ('135000.0', 0.19), ('225000.0', 0.16)]",False,Most frequent dominates with 0.3%
17,APPROVED_APP_CREDIT_PERC_MAX,float64,290056,145549,50.18,144507,49.82,False,19.09,False,1.0,55360,"[(np.float64(1.0), 55360), (np.float64(1.1111111111111112), 16261), (np.float64(1.25), 3769)]",290056,1.0,19.09,1.1111111111111112,5.61,"[('1.0', 19.09), ('1.1111111111111112', 5.61), ('1.25', 1.3)]",False,Most frequent dominates with 19.09%
18,APPROVED_APP_CREDIT_PERC_MEAN,float64,290056,239493,82.57,50563,17.43,False,7.11,False,1.0,20621,"[(np.float64(1.0), 20621), (np.float64(1.1111111111111112), 3441), (np.float64(0.9380863039399624), 1050)]",290056,1.0,7.11,1.1111111111111112,1.19,"[('1.0', 7.11), ('1.1111111111111112', 1.19), ('0.9380863039399624', 0.36)]",False,Most frequent dominates with 7.11%
19,APPROVED_CNT_PAYMENT_MEAN,float64,290065,1342,0.46,288723,99.54,False,14.31,False,12.0,41505,"[(np.float64(12.0), 41505), (np.float64(6.0), 26048), (np.float64(10.0), 21879)]",290065,12.0,14.31,6.0,8.98,"[('12.0', 14.31), ('6.0', 8.98), ('10.0', 7.54)]",False,Most frequent dominates with 14.31%
20,APPROVED_CNT_PAYMENT_SUM,float64,290065,345,0.12,289720,99.88,False,11.68,False,12.0,33870,"[(np.float64(12.0), 33870), (np.float64(24.0), 22009), (np.float64(6.0), 16918)]",290065,12.0,11.68,24.0,7.59,"[('12.0', 11.68), ('24.0', 7.59), ('6.0', 5.83)]",False,Most frequent dominates with 11.68%
21,APPROVED_DAYS_DECISION_MEAN,float64,290065,34247,11.81,255818,88.19,False,0.06,False,-352.0,170,"[(np.float64(-352.0), 170), (np.float64(-350.0), 170), (np.float64(-404.0), 170)]",290065,-352.0,0.06,-350.0,0.06,"[('-352.0', 0.06), ('-350.0', 0.06), ('-404.0', 0.06)]",False,Most frequent dominates with 0.06%
22,APPROVED_DAYS_DECISION_MIN,float64,290065,2921,1.01,287144,98.99,False,0.07,False,-476.0,204,"[(np.float64(-476.0), 204), (np.float64(-447.0), 182), (np.float64(-511.0), 182)]",290065,-476.0,0.07,-447.0,0.06,"[('-476.0', 0.07), ('-447.0', 0.06), ('-511.0', 0.06)]",False,Most frequent dominates with 0.07%
23,APPROVED_SK_ID_PREV_NUNIQUE,float64,290065,25,0.01,290040,99.99,False,26.42,False,1.0,76640,"[(np.float64(1.0), 76640), (np.float64(2.0), 67388), (np.float64(3.0), 52238)]",290065,1.0,26.42,2.0,23.23,"[('1.0', 26.42), ('2.0', 23.23), ('3.0', 18.01)]",False,Most frequent dominates with 26.42%
24,APP_ADDRESS_MISMATCH_COUNT,int64,307511,7,0.0,307504,100.0,False,74.26,False,0,228354,"[(np.int64(0), 228354), (np.int64(2), 64077), (np.int64(4), 9544)]",307511,0,74.26,2,20.84,"[('0', 74.26), ('2', 20.84), ('4', 3.1)]",False,Most frequent dominates with 74.26%
25,APP_ANNUITY_INCOME_RATIO,float64,307499,88811,28.88,218688,71.12,False,0.96,False,0.1,2942,"[(np.float64(0.1), 2942), (np.float64(0.15), 2771), (np.float64(0.0666666666666666), 1150)]",307499,0.1,0.96,0.15,0.9,"[('0.1', 0.96), ('0.15', 0.9), ('0.0666666666666666', 0.37)]",False,Most frequent dominates with 0.96%
26,APP_CAR_BIRTH_RATIO,float64,104582,78396,74.96,26186,25.04,False,2.04,False,-0.0,2134,"[(np.float64(-0.0), 2134), (np.float64(-0.0008244023083264), 10), (np.float64(-0.0007861635220125), 10)]",104582,-0.0,2.04,-0.0008244023083264,0.01,"[('-0.0', 2.04), ('-0.0008244023083264', 0.01), ('-0.0007861635220125', 0.01)]",False,Most frequent dominates with 2.04%
27,APP_CONTACT_COUNT,int64,307511,6,0.0,307505,100.0,False,52.35,False,3,160972,"[(np.int64(3), 160972), (np.int64(4), 70671), (np.int64(2), 38357)]",307511,3,52.35,4,22.98,"[('3', 52.35), ('4', 22.98), ('2', 12.47)]",False,Most frequent dominates with 52.35%
28,APP_CREDIT_ANNUITY_RATIO,float64,307499,39539,12.86,267960,87.14,False,9.51,False,20.0,29242,"[(np.float64(20.0), 29242), (np.float64(34.19972640218878), 1985), (np.float64(34.083333333333336), 1643)]",307499,20.0,9.51,34.19972640218878,0.65,"[('20.0', 9.51), ('34.19972640218878', 0.65), ('34.083333333333336', 0.53)]",False,Most frequent dominates with 9.51%
29,APP_CREDIT_INCOME_RATIO,float64,307511,48697,15.84,258814,84.16,False,1.72,False,2.0,5302,"[(np.float64(2.0), 5302), (np.float64(3.0), 3920), (np.float64(2.5), 3142)]",307511,2.0,1.72,3.0,1.27,"[('2.0', 1.72), ('3.0', 1.27), ('2.5', 1.02)]",False,Most frequent dominates with 1.72%
30,APP_DOCUMENT_COUNT,int64,307511,5,0.0,307506,100.0,False,87.82,False,1,270056,"[(np.int64(1), 270056), (np.int64(0), 29549), (np.int64(2), 7742)]",307511,1,87.82,0,9.61,"[('1', 87.82), ('0', 9.61), ('2', 2.52)]",False,Most frequent dominates with 87.82%
31,APP_EMPLOYED_BIRTH_RATIO,float64,252137,249434,98.93,2703,1.07,False,0.0,False,0.0833333333333333,12,"[(np.float64(0.0833333333333333), 12), (np.float64(0.0909090909090909), 11), (np.float64(0.2), 10)]",252137,0.0833333333333333,0.0,0.0909090909090909,0.0,"[('0.0833333333333333', 0.0), ('0.0909090909090909', 0.0), ('0.2', 0.0)]",False,Most frequent dominates with 0.0%
32,APP_EXT_SOURCE_MAX,float64,307339,121113,39.41,186226,60.59,False,0.41,False,0.746300213050371,1255,"[(np.float64(0.746300213050371), 1255), (np.float64(0.7136313997323308), 1059), (np.float64(0.6940926425266661), 927)]",307339,0.746300213050371,0.41,0.7136313997323308,0.34,"[('0.746300213050371', 0.41), ('0.7136313997323308', 0.34), ('0.6940926425266661', 0.3)]",False,Most frequent dominates with 0.41%
33,APP_EXT_SOURCE_MEAN,float64,307339,300347,97.72,6992,2.28,False,0.03,False,0.2858978721410488,94,"[(np.float64(0.2858978721410488), 94), (np.float64(0.2652563401861944), 65), (np.float64(0.1596792335026377), 61)]",307339,0.2858978721410488,0.03,0.2652563401861944,0.02,"[('0.2858978721410488', 0.03), ('0.2652563401861944', 0.02), ('0.1596792335026377', 0.02)]",False,Most frequent dominates with 0.03%
34,APP_EXT_SOURCE_MIN,float64,307339,139146,45.27,168193,54.73,False,0.29,False,0.0005272652387098,885,"[(np.float64(0.0005272652387098), 885), (np.float64(0.4507472818545589), 619), (np.float64(0.2858978721410488), 576)]",307339,0.0005272652387098,0.29,0.4507472818545589,0.2,"[('0.0005272652387098', 0.29), ('0.4507472818545589', 0.2), ('0.2858978721410488', 0.19)]",False,Most frequent dominates with 0.29%
35,APP_EXT_SOURCE_STD,float64,270602,269867,99.73,735,0.27,False,0.0,False,0.2595072552010954,5,"[(np.float64(0.2595072552010954), 5), (np.float64(0.3422692701347568), 4), (np.float64(0.2944351124027654), 4)]",270602,0.2595072552010954,0.0,0.3422692701347568,0.0,"[('0.2595072552010954', 0.0), ('0.3422692701347568', 0.0), ('0.2944351124027654', 0.0)]",False,Most frequent dominates with 0.0%
36,APP_GOODS_CREDIT_RATIO,float64,307233,3066,1.0,304167,99.0,False,35.22,False,1.0,108210,"[(np.float64(1.0), 108210), (np.float64(0.8347245409015025), 25506), (np.float64(0.8632596685082873), 14007)]",307233,1.0,35.22,0.8347245409015025,8.3,"[('1.0', 35.22), ('0.8347245409015025', 8.3), ('0.8632596685082873', 4.56)]",False,Most frequent dominates with 35.22%
37,APP_INCOME_PER_PERSON,float64,307509,3064,1.0,304445,99.0,False,7.93,False,67500.0,24400,"[(np.float64(67500.0), 24400), (np.float64(45000.0), 20320), (np.float64(90000.0), 20311)]",307509,67500.0,7.93,45000.0,6.61,"[('67500.0', 7.93), ('45000.0', 6.61), ('90000.0', 6.61)]",False,Most frequent dominates with 7.93%
38,APP_MISSING_COUNT,int64,307511,67,0.02,307444,99.98,False,10.53,False,50,32394,"[(np.int64(50), 32394), (np.int64(49), 25383), (np.int64(48), 21504)]",307511,50,10.53,49,8.25,"[('50', 10.53), ('49', 8.25), ('48', 6.99)]",False,Most frequent dominates with 10.53%
39,APP_MISSING_RATIO,float64,307511,67,0.02,307444,99.98,False,10.53,False,0.3571428571428571,32394,"[(np.float64(0.3571428571428571), 32394), (np.float64(0.35), 25383), (np.float64(0.3428571428571428), 21504)]",307511,0.3571428571428571,10.53,0.35,8.25,"[('0.3571428571428571', 10.53), ('0.35', 8.25), ('0.3428571428571428', 6.99)]",False,Most frequent dominates with 10.53%
40,APP_PHONE_BIRTH_RATIO,float64,307510,264924,86.15,42586,13.85,False,12.25,False,-0.0,37672,"[(np.float64(-0.0), 37672), (np.float64(0.0769230769230769), 14), (np.float64(0.1111111111111111), 12)]",307510,-0.0,12.25,0.0769230769230769,0.0,"[('-0.0', 12.25), ('0.0769230769230769', 0.0), ('0.1111111111111111', 0.0)]",False,Most frequent dominates with 12.25%
41,APP_PHONE_EMPLOYED_RATIO,float64,252134,205138,81.36,46996,18.64,False,11.46,False,-0.0,28888,"[(np.float64(-0.0), 28888), (np.float64(0.5), 51), (np.float64(1.0), 41)]",252134,-0.0,11.46,0.5,0.02,"[('-0.0', 11.46), ('0.5', 0.02), ('1.0', 0.02)]",False,Most frequent dominates with 11.46%
42,BASEMENTAREA_AVG,float64,127568,3780,2.96,123788,97.04,False,11.56,False,0.0,14745,"[(np.float64(0.0), 14745), (np.float64(0.0545), 251), (np.float64(0.0818), 251)]",127568,0.0,11.56,0.0545,0.2,"[('0.0', 11.56), ('0.0545', 0.2), ('0.0818', 0.2)]",False,Most frequent dominates with 11.56%
43,BASEMENTAREA_MEDI,float64,127568,3772,2.96,123796,97.04,False,11.75,False,0.0,14991,"[(np.float64(0.0), 14991), (np.float64(0.0818), 271), (np.float64(0.1091), 266)]",127568,0.0,11.75,0.0818,0.21,"[('0.0', 11.75), ('0.0818', 0.21), ('0.1091', 0.21)]",False,Most frequent dominates with 11.75%
44,BASEMENTAREA_MODE,float64,127568,3841,3.01,123727,96.99,False,13.01,False,0.0,16598,"[(np.float64(0.0), 16598), (np.float64(0.0566), 269), (np.float64(0.0849), 265)]",127568,0.0,13.01,0.0566,0.21,"[('0.0', 13.01), ('0.0566', 0.21), ('0.0849', 0.21)]",False,Most frequent dominates with 13.01%
45,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,float64,206514,158599,76.8,47915,23.2,False,10.49,False,0.0,21660,"[(np.float64(0.0), 21660), (np.float64(4.5), 77), (np.float64(225000.0), 64)]",206514,0.0,10.49,4.5,0.04,"[('0.0', 10.49), ('4.5', 0.04), ('225000.0', 0.03)]",False,Most frequent dominates with 10.49%
46,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,float64,217150,153496,70.69,63654,29.31,False,14.87,False,0.0,32296,"[(np.float64(0.0), 32296), (np.float64(4.5), 106), (np.float64(225000.0), 58)]",217150,0.0,14.87,4.5,0.05,"[('0.0', 14.87), ('4.5', 0.05), ('225000.0', 0.03)]",False,Most frequent dominates with 14.87%
47,BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN,float64,217149,99483,45.81,117666,54.19,False,1.73,False,225000.0,3750,"[(np.float64(225000.0), 3750), (np.float64(135000.0), 3419), (np.float64(0.0), 3078)]",217149,225000.0,1.73,135000.0,1.57,"[('225000.0', 1.73), ('135000.0', 1.57), ('0.0', 1.42)]",False,Most frequent dominates with 1.73%
48,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,float64,217150,1557,0.72,215593,99.28,False,98.54,True,0.0,213970,"[(np.float64(0.0), 213970), (np.float64(4.5), 94), (np.float64(2.25), 71)]",217150,0.0,98.54,4.5,0.04,"[('0.0', 98.54), ('4.5', 0.04), ('2.25', 0.03)]",True,Appears uniformly dominated
49,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM,float64,217150,1197,0.55,215953,99.45,False,98.54,True,0.0,213970,"[(np.float64(0.0), 213970), (np.float64(4.5), 243), (np.float64(9.0), 85)]",217150,0.0,98.54,4.5,0.11,"[('0.0', 98.54), ('4.5', 0.11), ('9.0', 0.04)]",True,Appears uniformly dominated
50,BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,float64,217150,95921,44.17,121229,55.83,False,1.7,False,225000.0,3687,"[(np.float64(225000.0), 3687), (np.float64(135000.0), 3259), (np.float64(0.0), 3079)]",217150,225000.0,1.7,135000.0,1.5,"[('225000.0', 1.7), ('135000.0', 1.5), ('0.0', 1.42)]",False,Most frequent dominates with 1.7%
51,BUREAU_ACTIVE_DAYS_CREDIT_MAX,float64,217150,2907,1.34,214243,98.66,False,0.31,False,-91.0,669,"[(np.float64(-91.0), 669), (np.float64(-119.0), 605), (np.float64(-112.0), 598)]",217150,-91.0,0.31,-119.0,0.28,"[('-91.0', 0.31), ('-119.0', 0.28), ('-112.0', 0.28)]",False,Most frequent dominates with 0.31%
52,BUREAU_ACTIVE_DAYS_CREDIT_MEAN,float64,217150,20978,9.66,196172,90.34,False,0.09,False,-147.0,198,"[(np.float64(-147.0), 198), (np.float64(-148.0), 192), (np.float64(-168.0), 190)]",217150,-147.0,0.09,-148.0,0.09,"[('-147.0', 0.09), ('-148.0', 0.09), ('-168.0', 0.09)]",False,Most frequent dominates with 0.09%
53,BUREAU_ACTIVE_DAYS_CREDIT_MIN,float64,217150,2922,1.35,214228,98.65,False,0.11,False,-365.0,235,"[(np.float64(-365.0), 235), (np.float64(-343.0), 225), (np.float64(-357.0), 220)]",217150,-365.0,0.11,-343.0,0.1,"[('-365.0', 0.11), ('-343.0', 0.1), ('-357.0', 0.1)]",False,Most frequent dominates with 0.11%
54,BUREAU_AMT_ANNUITY_MAX,float64,80009,23582,29.47,56427,70.53,False,24.67,False,0.0,19737,"[(np.float64(0.0), 19737), (np.float64(4500.0), 961), (np.float64(13500.0), 880)]",80009,0.0,24.67,4500.0,1.2,"[('0.0', 24.67), ('4500.0', 1.2), ('13500.0', 1.1)]",False,Most frequent dominates with 24.67%
55,BUREAU_AMT_ANNUITY_MEAN,float64,80009,40563,50.7,39446,49.3,False,24.67,False,0.0,19737,"[(np.float64(0.0), 19737), (np.float64(4500.0), 607), (np.float64(13500.0), 379)]",80009,0.0,24.67,4500.0,0.76,"[('0.0', 24.67), ('4500.0', 0.76), ('13500.0', 0.47)]",False,Most frequent dominates with 24.67%
56,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,float64,183886,44798,24.36,139088,75.64,False,61.69,False,0.0,113446,"[(np.float64(0.0), 113446), (np.float64(1440.0), 318), (np.float64(225.0), 229)]",183886,0.0,61.69,1440.0,0.17,"[('0.0', 61.69), ('1440.0', 0.17), ('225.0', 0.12)]",False,Most frequent dominates with 61.69%
57,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,float64,183886,55265,30.05,128621,69.95,False,61.69,False,0.0,113446,"[(np.float64(0.0), 113446), (np.float64(720.0), 116), (np.float64(4.5), 113)]",183886,0.0,61.69,720.0,0.06,"[('0.0', 61.69), ('720.0', 0.06), ('4.5', 0.06)]",False,Most frequent dominates with 61.69%
58,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,float64,256131,138943,54.25,117188,45.75,False,27.66,False,0.0,70847,"[(np.float64(0.0), 70847), (np.float64(225000.0), 137), (np.float64(135000.0), 128)]",256131,0.0,27.66,225000.0,0.05,"[('0.0', 27.66), ('225000.0', 0.05), ('135000.0', 0.05)]",False,Most frequent dominates with 27.66%
59,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,float64,256131,169324,66.11,86807,33.89,False,27.21,False,0.0,69689,"[(np.float64(0.0), 69689), (np.float64(45000.0), 46), (np.float64(22500.0), 42)]",256131,0.0,27.21,45000.0,0.02,"[('0.0', 27.21), ('45000.0', 0.02), ('22500.0', 0.02)]",False,Most frequent dominates with 27.21%
60,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,float64,263491,154999,58.83,108492,41.17,False,29.24,False,0.0,77049,"[(np.float64(0.0), 77049), (np.float64(4.5), 112), (np.float64(135000.0), 61)]",263491,0.0,29.24,4.5,0.04,"[('0.0', 29.24), ('4.5', 0.04), ('135000.0', 0.02)]",False,Most frequent dominates with 29.24%
61,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,float64,242442,34311,14.15,208131,85.85,False,79.87,False,0.0,193649,"[(np.float64(0.0), 193649), (np.float64(135000.0), 1564), (np.float64(45000.0), 921)]",242442,0.0,79.87,135000.0,0.65,"[('0.0', 79.87), ('135000.0', 0.65), ('45000.0', 0.38)]",False,Most frequent dominates with 79.87%
62,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,float64,242442,38928,16.06,203514,83.94,False,79.85,False,0.0,193590,"[(np.float64(0.0), 193590), (np.float64(22500.0), 458), (np.float64(45000.0), 327)]",242442,0.0,79.85,22500.0,0.19,"[('0.0', 79.85), ('22500.0', 0.19), ('45000.0', 0.13)]",False,Most frequent dominates with 79.85%
63,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,float64,263491,37278,14.15,226213,85.85,False,81.46,False,0.0,214639,"[(np.float64(0.0), 214639), (np.float64(135000.0), 1031), (np.float64(45000.0), 728)]",263491,0.0,81.46,135000.0,0.39,"[('0.0', 81.46), ('135000.0', 0.39), ('45000.0', 0.28)]",False,Most frequent dominates with 81.46%
64,BUREAU_AMT_CREDIT_SUM_MAX,float64,263490,65160,24.73,198330,75.27,False,3.41,False,450000.0,8978,"[(np.float64(450000.0), 8978), (np.float64(225000.0), 8878), (np.float64(675000.0), 6506)]",263490,450000.0,3.41,225000.0,3.37,"[('450000.0', 3.41), ('225000.0', 3.37), ('675000.0', 2.47)]",False,Most frequent dominates with 3.41%
65,BUREAU_AMT_CREDIT_SUM_MEAN,float64,263490,209581,79.54,53909,20.46,False,0.52,False,225000.0,1377,"[(np.float64(225000.0), 1377), (np.float64(135000.0), 1222), (np.float64(0.0), 1082)]",263490,225000.0,0.52,135000.0,0.46,"[('225000.0', 0.52), ('135000.0', 0.46), ('0.0', 0.41)]",False,Most frequent dominates with 0.52%
66,BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,float64,263491,1203,0.46,262288,99.54,False,98.73,True,0.0,260157,"[(np.float64(0.0), 260157), (np.float64(4.5), 265), (np.float64(9.0), 96)]",263491,0.0,98.73,4.5,0.1,"[('0.0', 98.73), ('4.5', 0.1), ('9.0', 0.04)]",True,Appears uniformly dominated
67,BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,float64,263491,1872,0.71,261619,99.29,False,98.73,True,0.0,260157,"[(np.float64(0.0), 260157), (np.float64(4.5), 60), (np.float64(2.25), 48)]",263491,0.0,98.73,4.5,0.02,"[('0.0', 98.73), ('4.5', 0.02), ('2.25', 0.02)]",True,Appears uniformly dominated
68,BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,float64,263491,1218,0.46,262273,99.54,False,98.73,True,0.0,260157,"[(np.float64(0.0), 260157), (np.float64(4.5), 263), (np.float64(9.0), 94)]",263491,0.0,98.73,4.5,0.1,"[('0.0', 98.73), ('4.5', 0.1), ('9.0', 0.04)]",True,Appears uniformly dominated
69,BUREAU_AMT_CREDIT_SUM_SUM,float64,263491,205630,78.04,57861,21.96,False,0.51,False,225000.0,1351,"[(np.float64(225000.0), 1351), (np.float64(135000.0), 1142), (np.float64(0.0), 1083)]",263491,225000.0,0.51,135000.0,0.43,"[('225000.0', 0.51), ('135000.0', 0.43), ('0.0', 0.41)]",False,Most frequent dominates with 0.51%
70,BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,float64,92231,3958,4.29,88273,95.71,False,36.38,False,0.0,33550,"[(np.float64(0.0), 33550), (np.float64(-1.0), 921), (np.float64(-2.0), 754)]",92231,0.0,36.38,-1.0,1.0,"[('0.0', 36.38), ('-1.0', 1.0), ('-2.0', 0.82)]",False,Most frequent dominates with 36.38%
71,BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,float64,92231,5715,6.2,86516,93.8,False,0.68,False,-17.0,629,"[(np.float64(-17.0), 629), (np.float64(-19.0), 623), (np.float64(-13.0), 619)]",92231,-17.0,0.68,-19.0,0.68,"[('-17.0', 0.68), ('-19.0', 0.68), ('-13.0', 0.67)]",False,Most frequent dominates with 0.68%
72,BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN,float64,92231,5673,6.15,86558,93.85,False,1.04,False,8.0,955,"[(np.float64(8.0), 955), (np.float64(9.0), 938), (np.float64(12.0), 934)]",92231,8.0,1.04,9.0,1.02,"[('8.0', 1.04), ('9.0', 1.02), ('12.0', 1.01)]",False,Most frequent dominates with 1.04%
73,BUREAU_BB_STATUS_0_MEAN_MEAN,float64,92231,60195,65.27,32036,34.73,False,3.35,False,1.0,3088,"[(np.float64(1.0), 3088), (np.float64(0.0), 2432), (np.float64(0.5), 932)]",92231,1.0,3.35,0.0,2.64,"[('1.0', 3.35), ('0.0', 2.64), ('0.5', 1.01)]",False,Most frequent dominates with 3.35%
