,column,count,missing_count,iqr_q1,iqr_q3,iqr_value,iqr_lower_bound,iqr_upper_bound,iqr_lower_count,iqr_upper_count,iqr_total_count,iqr_total_pct,extreme_iqr_count,extreme_iqr_pct,zscore_lower_bound,zscore_upper_bound,zscore_lower_count,zscore_upper_count,zscore_total_count,zscore_total_pct,mod_zscore_mad,mod_zscore_count,mod_zscore_pct,pctl_lower_bound,pctl_upper_bound,pctl_count,pctl_pct,skewness_x,kurtosis,distribution_type_x,is_heavy_tailed,is_skewed,heavy_tail_flag,has_outliers,outlier_severity,suggested_treatment,winsorize_lower,winsorize_upper,distribution_type_y,transformation_recommendation,scaling_needed,clipping_recommendation,winsorization_recommendation,is_numeric,is_discrete,is_near_constant,zero_inflation_flag,binning_opportunity,structure_score,recommended_action,reason,zero_ratio,unique_count,skewness_y,outlier_percentage
10,APARTMENTS_AVG,151450,156061,0.06,0.15,0.09,-0.08,0.28,0,10655,10655,7.04,3359,2.22,-0.21,0.44,0,2982,2982,1.97,0.04,8282,5.47,0.0,0.54,2471,1.63,2.64,11.39,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.08,0.28,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,False,False,True,0.8,treat_as_categorical,"high_skew, high_outliers, discrete",0.005,2339,2.6418,7.04
11,APARTMENTS_MEDI,151450,156061,0.06,0.15,0.09,-0.08,0.28,0,10728,10728,7.08,3461,2.29,-0.21,0.45,0,3035,3035,2.0,0.04,8300,5.48,0.0,0.55,2491,1.64,2.64,11.24,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.08,0.28,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0051,1148,2.6393,7.08
12,APARTMENTS_MODE,151450,156061,0.05,0.14,0.09,-0.08,0.28,0,10397,10397,6.86,3371,2.23,-0.21,0.44,0,3010,3010,1.99,0.04,8676,5.73,0.0,0.54,2774,1.83,2.7,11.75,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.08,0.28,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0064,760,2.7031,6.86
13,APPROVED_AMT_APPLICATION_MAX,290065,17446,90000.0,427500.0,337500.0,-416250.0,933750.0,0,20463,20463,7.05,3146,1.08,-742535.51,1364480.22,0,3560,3560,1.23,101686.5,35052,12.08,18895.5,1552500.0,5791,2.0,2.2,6.09,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-416250.0,933750.0,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0035,50746,2.196,7.05
14,APPROVED_AMT_APPLICATION_MEAN,290065,17446,66242.06,206955.0,140712.94,-144827.35,418024.41,0,20703,20703,7.14,6379,2.2,-325915.5,657665.62,0,5588,5588,1.93,58218.75,21027,7.25,16875.0,765000.0,5780,1.99,3.49,26.52,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-144827.35,418024.41,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0035,168391,3.4891,7.14
15,APPROVED_AMT_CREDIT_MAX,290065,17446,93240.0,450000.0,356760.0,-441900.0,985140.0,0,22919,22919,7.9,3943,1.36,-796569.69,1483451.78,0,4576,4576,1.58,117427.5,34498,11.89,19786.5,1620000.0,5795,2.0,2.04,4.96,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-441900.0,985140.0,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0,58928,2.0383,7.9
16,APPROVED_AMT_CREDIT_MEAN,290065,17446,71014.5,234893.25,163878.75,-174803.62,480711.38,0,18393,18393,6.34,4912,1.69,-348093.84,714543.47,0,5291,5291,1.82,67191.0,19074,6.58,19314.0,818915.76,5798,2.0,3.15,21.53,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-174803.62,480711.38,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0,185460,3.1491,6.34
17,APPROVED_APP_CREDIT_PERC_MAX,290056,17455,1.0,1.12,0.12,0.82,1.3,3659,28527,32186,11.1,16785,5.79,0.23,1.97,1012,4161,5173,1.78,0.08,18653,6.43,0.8,2.04,5802,2.0,10.82,370.68,right_skewed,True,True,True,True,severe,consider_log_transform,0.82,1.3,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0035,145549,10.8179,11.1
18,APPROVED_APP_CREDIT_PERC_MEAN,290056,17455,0.91,1.03,0.12,0.72,1.22,17177,14420,31597,10.89,9395,3.24,0.43,1.51,1550,2921,4471,1.54,0.06,17842,6.15,0.5,1.52,5732,1.98,1.71,34.28,right_skewed,True,True,True,True,severe,consider_log_transform,0.72,1.22,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0035,239493,1.7129,10.89
19,APPROVED_CNT_PAYMENT_MEAN,290065,17446,9.0,17.14,8.14,-3.21,29.36,0,12394,12394,4.27,2057,0.71,-9.04,36.22,0,2903,2903,1.0,4.0,7923,2.73,2.0,36.26,5550,1.91,1.57,4.06,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-3.21,29.36,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0091,1342,1.5715,4.27
20,APPROVED_CNT_PAYMENT_SUM,290065,17446,12.0,60.0,48.0,-60.0,132.0,0,11793,11793,4.07,1995,0.69,-78.73,165.19,0,5526,5526,1.91,18.0,15265,5.26,4.0,192.0,5431,1.87,2.07,6.29,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-60.0,132.0,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0091,345,2.0656,4.07
21,APPROVED_DAYS_DECISION_MEAN,290065,17446,-1396.17,-557.0,839.17,-2654.92,701.75,3480,0,3480,1.2,0,0.0,-2802.6,738.97,1186,0,1186,0.41,412.5,0,0.0,-2685.68,-162.0,5774,1.99,-0.77,0.14,moderate_deviation,False,True,False,True,moderate,winsorize_lower_or_clip,-2654.92,701.75,approximately_normal,none_or_standard_scaler,True,False,False,True,False,False,False,False,0.5,keep_continuous,no_strong_signal,0.0,34247,0.7661,1.2
22,APPROVED_DAYS_DECISION_MIN,290065,17446,-2379.0,-720.0,1659.0,-4867.5,1768.5,0,0,0,0.0,0,0.0,-4119.18,1058.03,0,0,0,0.0,820.0,0,0.0,-2901.0,-172.0,5678,1.96,-0.06,-1.41,light_tailed,False,False,False,False,none,none_needed,-4867.5,1768.5,approximately_normal,none_or_standard_scaler,True,False,False,True,True,False,False,True,0.2,treat_as_categorical,discrete,0.0,2921,0.0645,0.0
23,APPROVED_SK_ID_PREV_NUNIQUE,290065,17446,1.0,4.0,3.0,-3.5,8.5,0,7052,7052,2.43,482,0.17,-3.31,9.42,0,4107,4107,1.42,1.0,7052,2.43,1.0,10.0,2362,0.81,1.59,3.9,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-3.5,8.5,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,True,True,False,True,0.5,drop_or_encode,near_constant,0.0,25,1.5934,2.43
24,APP_ADDRESS_MISMATCH_COUNT,307511,0,0.0,2.0,2.0,-3.0,5.0,0,329,329,0.11,0,0.0,-2.66,3.85,0,10742,10742,3.49,0.73,10742,3.49,0.0,4.0,1198,0.39,1.72,2.33,right_skewed,True,True,True,True,low,investigate_individually,-3.0,5.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,False,0.5,drop_or_encode,near_constant,0.7426,7,1.7179,0.11
25,APP_ANNUITY_INCOME_RATIO,307499,12,0.11,0.23,0.11,-0.06,0.4,0,7878,7878,2.56,1246,0.41,-0.1,0.46,0,3792,3792,1.23,0.06,4453,1.45,0.04,0.48,6150,2.0,1.51,5.45,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-0.06,0.4,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,False,False,False,True,0.5,bin,high_skew,0.0,88811,1.512,2.56
26,APP_CAR_BIRTH_RATIO,104582,202929,-0.0,-0.0,0.0,-0.0,0.0,5265,0,5265,5.03,3075,2.94,-0.0,0.0,2710,0,2710,2.59,0.0,4254,4.07,-0.01,0.0,1046,1.0,-3.61,17.56,left_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.0,0.0,heavy_tailed,quantile_transform_or_robust_scaler,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0204,78396,3.6124,5.03
27,APP_CONTACT_COUNT,307511,0,3.0,4.0,1.0,1.5,5.5,27,1992,2019,0.66,0,0.0,0.76,5.95,0,1992,1992,0.65,0.58,0,0.0,2.0,5.0,2019,0.66,0.56,-0.09,moderate_deviation,False,True,False,True,low,investigate_individually,1.5,5.5,approximately_normal,none_or_standard_scaler,False,False,False,True,True,True,False,False,0.3,drop_or_encode,near_constant,0.0,6,0.5557,0.66
28,APP_CREDIT_ANNUITY_RATIO,307499,12,15.61,27.1,11.49,-1.61,44.33,0,17,17,0.01,0,0.0,-1.86,45.08,0,11,11,0.0,5.27,0,0.0,8.71,37.79,6149,2.0,0.3,-0.78,approximately_normal,False,False,False,True,low,investigate_individually,-1.61,44.33,approximately_normal,none_or_standard_scaler,False,False,False,True,False,False,False,False,0.2,keep_continuous,no_strong_signal,0.0,39539,0.3047,0.01
29,APP_CREDIT_INCOME_RATIO,307511,0,2.02,5.16,3.14,-2.69,9.87,0,11510,11510,3.74,1626,0.53,-4.11,12.03,0,4340,4340,1.41,1.45,7801,2.54,0.6,13.03,6152,2.0,1.84,8.37,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-2.69,9.87,heavy_tailed,log1p_or_quantile_transform,True,False,True,True,False,False,False,True,0.8,bin,high_skew,0.0,48697,1.836,3.74
30,APP_DOCUMENT_COUNT,307511,0,1.0,1.0,0.0,1.0,1.0,29549,7906,37455,12.18,37455,12.18,-0.1,1.96,0,7906,7906,2.57,0.23,164,0.05,0.0,2.0,164,0.05,-1.01,5.18,left_skewed,True,True,True,True,severe,consider_log_transform,1.0,1.0,heavy_tailed,quantile_transform_or_robust_scaler,True,True,False,True,True,True,False,False,0.3,drop_or_encode,near_constant,0.0961,5,1.0146,0.0
31,APP_EMPLOYED_BIRTH_RATIO,252137,55374,0.06,0.22,0.16,-0.19,0.46,0,10760,10760,4.27,19,0.01,-0.24,0.56,0,4240,4240,1.68,0.07,7922,3.14,0.01,0.59,5044,2.0,1.35,1.59,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,-0.19,0.46,right_skewed,log1p,True,False,True,True,False,False,False,True,0.8,bin,high_skew,0.0,249434,1.3474,4.27
32,APP_EXT_SOURCE_MAX,307339,172,0.54,0.73,0.18,0.26,1.0,11713,0,11713,3.81,0,0.0,0.15,1.08,3675,0,3675,1.2,0.09,6092,1.98,0.13,0.87,6145,2.0,-1.07,1.17,left_skewed,True,True,True,True,moderate,winsorize_lower_or_clip,0.26,1.0,left_skewed,yeo_johnson_or_square_transform,True,False,True,True,False,False,False,True,0.8,bin,high_skew,0.0,121113,1.0659,3.81
33,APP_EXT_SOURCE_MEAN,307339,172,0.41,0.62,0.21,0.1,0.94,2652,0,2652,0.86,0,0.0,0.06,0.96,1261,0,1261,0.41,0.1,0,0.0,0.11,0.77,6148,2.0,-0.53,-0.06,moderate_deviation,False,True,False,True,low,investigate_individually,0.1,0.94,approximately_normal,none_or_standard_scaler,False,False,False,True,False,False,False,False,0.5,keep_continuous,no_strong_signal,0.0,300347,0.5295,0.86
34,APP_EXT_SOURCE_MIN,307339,172,0.25,0.55,0.3,-0.19,1.0,0,0,0,0.0,0,0.0,-0.16,0.96,0,0,0,0.0,0.15,0,0.0,0.02,0.75,6148,2.0,-0.08,-0.93,approximately_normal,False,False,False,False,none,none_needed,-0.19,1.0,approximately_normal,none_or_standard_scaler,False,False,False,True,False,False,False,False,0.2,keep_continuous,no_strong_signal,0.0,139146,0.0838,0.0
35,APP_EXT_SOURCE_STD,270602,36909,0.07,0.21,0.14,-0.14,0.43,0,2770,2770,1.02,1,0.0,-0.15,0.45,0,1682,1682,0.62,0.07,515,0.19,0.0,0.43,5414,2.0,0.74,0.2,moderate_deviation,False,True,False,True,moderate,winsorize_upper_or_clip,-0.14,0.43,approximately_normal,none_or_standard_scaler,False,False,False,True,False,False,False,False,0.5,keep_continuous,no_strong_signal,0.0,269867,0.7364,1.02
36,APP_GOODS_CREDIT_RATIO,307233,278,0.83,1.0,0.17,0.59,1.25,30,214,244,0.08,176,0.06,0.61,1.19,113,228,341,0.11,0.09,198,0.06,0.68,1.0,2973,0.97,2.67,120.16,right_skewed,True,True,True,True,low,investigate_individually,0.59,1.25,heavy_tailed,log1p_or_quantile_transform,True,False,False,True,True,True,False,True,0.5,drop_or_encode,near_constant,0.0,3066,2.6669,0.08
37,APP_INCOME_PER_PERSON,307509,2,47250.0,112500.0,65250.0,-50625.0,210375.0,0,17410,17410,5.66,4969,1.62,-211014.21,397225.97,0,1825,1825,0.59,30000.0,10734,3.49,18000.0,337500.0,6057,1.97,187.37,70683.02,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-50625.0,210375.0,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,True,False,True,0.8,drop_or_encode,near_constant,0.0,3064,187.3673,5.66
38,APP_MISSING_COUNT,307511,0,7.0,50.0,43.0,-57.5,114.5,0,0,0,0.0,0,0.0,-32.04,94.21,0,0,0,0.0,16.0,0,0.0,0.0,60.0,2631,0.86,-0.24,-1.63,light_tailed,False,False,False,False,none,none_needed,-57.5,114.5,approximately_normal,none_or_standard_scaler,False,False,False,True,True,True,False,True,0.2,drop_or_encode,near_constant,0.028,67,0.2432,0.0
39,APP_MISSING_RATIO,307511,0,0.05,0.36,0.31,-0.41,0.82,0,0,0,0.0,0,0.0,-0.23,0.67,0,0,0,0.0,0.11,0,0.0,0.0,0.43,2631,0.86,-0.24,-1.63,light_tailed,False,False,False,False,none,none_needed,-0.41,0.82,approximately_normal,none_or_standard_scaler,False,False,False,True,True,True,False,True,0.2,drop_or_encode,near_constant,0.028,67,0.2432,0.0
40,APP_PHONE_BIRTH_RATIO,307510,1,0.02,0.1,0.08,-0.1,0.22,0,3620,3620,1.18,1,0.0,-0.1,0.23,0,2405,2405,0.78,0.04,1020,0.33,0.0,0.22,3076,1.0,0.93,0.44,moderate_deviation,False,True,False,True,moderate,winsorize_upper_or_clip,-0.1,0.22,approximately_normal,none_or_standard_scaler,False,False,False,True,False,False,False,True,0.5,bin,high_skew,0.1225,264924,0.9255,1.18
41,APP_PHONE_EMPLOYED_RATIO,252134,55377,0.13,0.92,0.79,-1.05,2.1,0,28891,28891,11.46,17905,7.1,-13.78,15.98,0,1190,1190,0.47,0.36,25930,10.28,0.0,11.61,2522,1.0,206.22,68343.94,right_skewed,True,True,True,True,severe,consider_log_transform,-1.05,2.1,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.1146,205138,206.2223,11.46
42,BASEMENTAREA_AVG,127568,179943,0.04,0.11,0.07,-0.06,0.21,0,7190,7190,5.64,2434,1.91,-0.16,0.34,0,1973,1973,1.55,0.03,4629,3.63,0.0,0.39,1276,1.0,3.57,25.93,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.06,0.21,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,False,False,True,0.8,treat_as_categorical,"high_skew, high_outliers, discrete",0.1156,3780,3.5663,5.64
43,BASEMENTAREA_MEDI,127568,179943,0.04,0.11,0.07,-0.06,0.21,0,7188,7188,5.63,2441,1.91,-0.16,0.33,0,1991,1991,1.56,0.03,4619,3.62,0.0,0.38,1273,1.0,3.55,25.83,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.06,0.21,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,False,False,True,0.8,treat_as_categorical,"high_skew, high_outliers, discrete",0.1175,3772,3.553,5.63
44,BASEMENTAREA_MODE,127568,179943,0.04,0.11,0.07,-0.07,0.22,0,6910,6910,5.42,2360,1.85,-0.17,0.34,0,2063,2063,1.62,0.04,4487,3.52,0.0,0.4,1271,1.0,3.48,24.43,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-0.07,0.22,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,True,False,False,True,0.8,treat_as_categorical,"high_skew, high_outliers, discrete",0.1301,3841,3.4815,5.42
45,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,206514,100997,48129.75,359028.56,310898.81,-418218.47,825376.78,9,20360,20369,9.86,11466,5.55,-2443030.65,3197345.68,0,3084,3084,1.49,123597.0,21472,10.4,0.0,4106033.22,3157,1.53,15.22,637.62,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-418218.47,825376.78,heavy_tailed,quantile_transform_or_robust_scaler,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.1049,158599,15.2183,9.86
46,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,217150,90361,55712.14,816669.56,760957.43,-1085724.0,1958105.7,8,20073,20081,9.25,10342,4.76,-4495411.58,6025604.66,1,3555,3556,1.64,274418.55,24129,11.11,0.0,7577112.6,3263,1.5,37.81,6137.77,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-1085724.0,1958105.7,heavy_tailed,quantile_transform_or_robust_scaler,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.1487,153496,37.8124,9.25
47,BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN,217149,90362,136125.0,575354.25,439229.25,-522718.88,1234198.12,0,20980,20980,9.66,11159,5.14,-2773447.96,3901594.18,0,3407,3407,1.57,173407.5,22332,10.28,0.0,4924594.86,2172,1.0,14.62,605.07,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-522718.88,1234198.12,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0142,99483,14.6242,9.66
48,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,217150,90361,0.0,0.0,0.0,0.0,0.0,0,3180,3180,1.46,3180,1.46,-32955.31,33163.25,0,66,66,0.03,7432.83,59,0.03,0.0,27.0,2156,0.99,231.3,65667.91,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,True,0.7,drop_or_encode,near_constant,0.9854,1557,231.2985,0.0
49,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM,217150,90361,0.0,0.0,0.0,0.0,0.0,0,3180,3180,1.46,3180,1.46,-49584.12,50057.57,0,142,142,0.07,11201.39,125,0.06,0.0,76.5,2158,0.99,152.81,28608.93,right_skewed,True,True,True,True,moderate,log_transform_or_winsorize,0.0,0.0,zero_inflated,log1p_or_tweedie,True,False,False,True,True,True,True,True,0.7,drop_or_encode,near_constant,0.9854,1197,152.8089,0.0
50,BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,217150,90361,234000.0,1525499.46,1291499.46,-1703249.19,3462748.65,0,17751,17751,8.17,8673,3.99,-5786521.55,8408983.56,0,3464,3464,1.6,493128.9,20014,9.22,0.0,10069423.43,2172,1.0,27.12,2810.46,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-1703249.19,3462748.65,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.0142,95921,27.1163,8.17
51,BUREAU_ACTIVE_DAYS_CREDIT_MAX,217150,90361,-514.0,-126.0,388.0,-1096.0,456.0,17347,0,17347,7.99,6236,2.87,-1830.13,996.27,5247,0,5247,2.42,160.0,17649,8.13,-2563.0,-13.0,4054,1.87,-2.53,7.73,left_skewed,True,True,True,True,high,robust_scaling_or_transform,-1096.0,456.0,heavy_tailed,quantile_transform_or_robust_scaler,True,True,False,True,True,False,False,True,0.8,treat_as_categorical,"high_skew, high_outliers, discrete",0.0,2907,2.5276,7.99
52,BUREAU_ACTIVE_DAYS_CREDIT_MEAN,217150,90361,-871.5,-294.42,577.08,-1737.11,571.19,7758,0,7758,3.57,1980,0.91,-2138.0,836.42,4581,0,4581,2.11,275.31,5484,2.53,-2572.0,-33.0,4264,1.96,-1.58,3.36,left_skewed,True,True,True,True,moderate,winsorize_lower_or_clip,-1737.11,571.19,heavy_tailed,quantile_transform_or_robust_scaler,True,False,True,True,False,False,False,True,0.8,bin,high_skew,0.0,20978,1.5833,3.57
53,BUREAU_ACTIVE_DAYS_CREDIT_MIN,217150,90361,-1313.0,-366.0,947.0,-2733.5,1054.5,5570,0,5570,2.57,0,0.0,-3105.95,1229.52,0,0,0,0.0,447.0,0,0.0,-2848.0,-34.0,4307,1.98,-1.0,0.28,left_skewed,False,True,False,True,moderate,winsorize_lower_or_clip,-2733.5,1054.5,left_skewed,yeo_johnson_or_square_transform,True,False,True,True,True,False,False,True,0.5,treat_as_categorical,"high_skew, discrete",0.0,2922,1.0038,2.57
54,BUREAU_AMT_ANNUITY_MAX,80009,227502,450.0,27004.5,26554.5,-39381.75,66836.25,0,4882,4882,6.1,2136,2.67,-1509145.38,1578822.27,0,133,133,0.17,12491.19,3588,4.48,0.0,263417.4,801,1.0,87.23,8815.37,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-39381.75,66836.25,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.2467,23582,87.2272,6.1
55,BUREAU_AMT_ANNUITY_MEAN,80009,227502,242.76,15150.01,14907.25,-22118.11,37510.89,0,5331,5331,6.66,2281,2.85,-495452.44,527556.94,0,128,128,0.16,6494.16,4759,5.95,0.0,110523.06,801,1.0,104.92,14183.73,right_skewed,True,True,True,True,high,robust_scaling_or_transform,-22118.11,37510.89,heavy_tailed,log1p_or_quantile_transform,True,True,False,True,False,False,False,True,0.8,bin,"high_skew, high_outliers",0.2467,40563,104.9256,6.66
