,column,sample_size,target_type,pearson_corr_with_target,pearson_pvalue,pearson_ci_lower,pearson_ci_upper,spearman_corr_with_target,spearman_pvalue,point_biserial_corr,point_biserial_pvalue,mutual_info_score,mutual_info_normalized,eta_squared,abs_max_correlation,best_method,best_correlation,best_pvalue,correlation_direction,signal_strength,is_significant,is_strong_signal,mutual_information_numeric,nonlinear_signal_strength,signal_to_noise_flag,target_mean_by_bin_variation,monotonic_trend_with_target,bin_lift_max,correlation,information_value,predictive_level,is_predictive,n_valid_bins,unique_values,reason,max_abs_correlation,corr_score,mi_score,bin_var_score,bin_lift_score,total_score,predictive_power_band
37,APP_INCOME_PER_PERSON,307509,binary,-0.0066,0.000268,-0.0101,-0.003,-0.0166,0.0,-0.0066,0.000268,0.0032,0.0016,0.0,0.0166,spearman,-0.0166,0.0,negative,negligible,True,False,0.002027,negligible,False,0.0145,True,1.0859,-0.0166,0.004,very_weak,False,10,3064,,0.0166,0,0,0,0,0,very_weak
38,APP_MISSING_COUNT,307511,binary,0.0411,0.0,0.0376,0.0446,0.0412,0.0,0.0411,0.0,0.0055,0.0027,0.0017,0.0412,spearman,0.0412,0.0,positive,negligible,True,False,0.005626,weak,True,0.0479,False,1.4105,0.0412,0.0416,weak,False,10,67,,0.0412,0,1,1,1,3,weak
39,APP_MISSING_RATIO,307511,binary,0.0411,0.0,0.0376,0.0446,0.0412,0.0,0.0411,0.0,0.0055,0.0027,0.0017,0.0412,spearman,0.0412,0.0,positive,negligible,True,False,0.006255,weak,True,0.0479,False,1.4105,0.0412,0.0416,weak,False,10,67,,0.0412,0,1,1,1,3,weak
40,APP_PHONE_BIRTH_RATIO,307510,binary,-0.034,0.0,-0.0375,-0.0305,-0.0359,0.0,-0.034,0.0,0.0009,0.0005,0.0012,0.0359,spearman,-0.0359,0.0,negative,negligible,True,False,0.000843,negligible,False,0.0257,True,1.1444,-0.0359,0.0187,very_weak,False,9,264924,,0.0359,0,0,0,0,0,very_weak
41,APP_PHONE_EMPLOYED_RATIO,252134,binary,0.0003,0.895355,-0.0036,0.0042,0.0,0.987553,0.0003,0.895355,0.001,0.0005,0.0,0.0003,pearson,0.0003,0.895355,none,negligible,False,False,0.00207,negligible,False,0.0194,True,1.1722,0.0,0.0065,very_weak,False,9,205138,,0.0003,0,0,0,0,0,very_weak
42,BASEMENTAREA_AVG,127568,binary,-0.0227,0.0,-0.0282,-0.0173,-0.0232,0.0,-0.0227,0.0,0.0011,0.0005,0.0005,0.0232,spearman,-0.0232,0.0,negative,negligible,True,False,0.020331,moderate,True,0.0209,True,0.9609,-0.0232,0.0099,very_weak,False,9,3780,,0.0232,0,2,0,0,2,weak
43,BASEMENTAREA_MEDI,127568,binary,-0.0221,0.0,-0.0276,-0.0166,-0.0227,0.0,-0.0221,0.0,0.0007,0.0003,0.0005,0.0227,spearman,-0.0227,0.0,negative,negligible,True,False,0.018551,weak,True,0.0208,True,0.9567,-0.0227,0.0096,very_weak,False,9,3772,,0.0227,0,1,0,0,1,very_weak
44,BASEMENTAREA_MODE,127568,binary,-0.02,0.0,-0.0254,-0.0145,-0.019,0.0,-0.02,0.0,0.001,0.0005,0.0004,0.02,pearson,-0.02,0.0,negative,negligible,True,False,0.021046,moderate,True,0.0193,True,0.9391,-0.019,0.0078,very_weak,False,9,3841,,0.02,0,2,0,0,2,weak
45,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,206514,binary,-0.0156,0.0,-0.0199,-0.0113,0.0199,0.0,-0.0156,0.0,0.0019,0.001,0.0002,0.0199,spearman,0.0199,0.0,positive,negligible,True,False,0.002503,negligible,False,0.0435,False,1.178,0.0199,0.0337,weak,False,10,158599,,0.0199,0,0,1,0,1,very_weak
46,BUREAU_ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,217150,binary,0.0008,0.711528,-0.0034,0.005,0.0343,0.0,0.0008,0.711528,0.0,0.0,0.0,0.0343,spearman,0.0343,0.0,positive,negligible,True,False,0.00096,negligible,False,0.038,True,1.1859,0.0343,0.026,weak,False,10,153496,,0.0343,0,0,1,0,1,very_weak
47,BUREAU_ACTIVE_AMT_CREDIT_SUM_MEAN,217149,binary,-0.0297,0.0,-0.0339,-0.0255,-0.0249,0.0,-0.0297,0.0,0.0013,0.0006,0.0009,0.0297,pearson,-0.0297,0.0,negative,negligible,True,False,0.00248,negligible,False,0.0362,True,1.1496,-0.0249,0.0164,very_weak,False,10,99483,,0.0297,0,0,1,0,1,very_weak
48,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,217150,binary,0.0059,0.006157,0.0017,0.0101,0.037,0.0,0.0059,0.006157,0.0007,0.0003,0.0,0.037,spearman,0.037,0.0,positive,negligible,True,False,0.001339,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.037,0,0,0,0,0,very_weak
49,BUREAU_ACTIVE_AMT_CREDIT_SUM_OVERDUE_SUM,217150,binary,0.0152,0.0,0.011,0.0194,0.037,0.0,0.0152,0.0,0.0008,0.0004,0.0002,0.037,spearman,0.037,0.0,positive,negligible,True,False,0.000194,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.037,0,0,0,0,0,very_weak
50,BUREAU_ACTIVE_AMT_CREDIT_SUM_SUM,217150,binary,-0.0094,1.1e-05,-0.0136,-0.0052,0.003,0.160692,-0.0094,1.1e-05,0.0015,0.0008,0.0001,0.0094,point_biserial,-0.0094,1.1e-05,none,negligible,True,False,0.002957,negligible,False,0.0163,True,1.1203,0.003,0.0051,very_weak,False,10,95921,,0.0094,0,0,0,0,0,very_weak
51,BUREAU_ACTIVE_DAYS_CREDIT_MAX,217150,binary,0.0604,0.0,0.0562,0.0646,0.0777,0.0,0.0604,0.0,0.003,0.0015,0.0036,0.0777,spearman,0.0777,0.0,positive,negligible,True,False,0.006337,weak,True,0.0788,True,1.5975,0.0777,0.0861,weak,True,10,2907,,0.0777,1,1,1,1,4,moderate
52,BUREAU_ACTIVE_DAYS_CREDIT_MEAN,217150,binary,0.064,0.0,0.0598,0.0682,0.069,0.0,0.064,0.0,0.0029,0.0014,0.0041,0.069,spearman,0.069,0.0,positive,negligible,True,False,0.007423,weak,True,0.0573,True,1.3301,0.069,0.0682,weak,True,10,20978,,0.069,1,1,1,1,4,moderate
53,BUREAU_ACTIVE_DAYS_CREDIT_MIN,217150,binary,0.0432,0.0,0.039,0.0474,0.0453,0.0,0.0432,0.0,0.0009,0.0004,0.0019,0.0453,spearman,0.0453,0.0,positive,negligible,True,False,0.006918,weak,True,0.0391,True,1.2466,0.0453,0.028,weak,False,10,2922,,0.0453,0,1,1,0,2,weak
54,BUREAU_AMT_ANNUITY_MAX,80009,binary,0.0011,0.751338,-0.0058,0.008,0.0211,0.0,0.0011,0.751338,0.0028,0.0014,0.0,0.0211,spearman,0.0211,0.0,positive,negligible,True,False,0.001969,negligible,False,0.0247,True,1.1718,0.0211,0.0145,very_weak,False,8,23582,,0.0211,0,0,0,0,0,very_weak
55,BUREAU_AMT_ANNUITY_MEAN,80009,binary,-0.0014,0.693895,-0.0083,0.0055,0.0239,0.0,-0.0014,0.693895,0.0019,0.001,0.0,0.0239,spearman,0.0239,0.0,positive,negligible,True,False,0.00318,negligible,False,0.0309,True,1.2079,0.0239,0.0248,weak,False,8,40563,,0.0239,0,0,1,0,1,very_weak
56,BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,183886,binary,0.0025,0.276112,-0.002,0.0071,0.0497,0.0,0.0025,0.276112,0.0011,0.0006,0.0,0.0497,spearman,0.0497,0.0,positive,negligible,True,False,0.000855,negligible,False,0.0312,True,1.2502,0.0497,0.0319,weak,False,4,44798,,0.0497,0,0,1,0,1,very_weak
57,BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,183886,binary,0.0024,0.296435,-0.0021,0.007,0.0521,0.0,0.0024,0.296435,0.0017,0.0008,0.0,0.0521,spearman,0.0521,0.0,positive,negligible,True,False,0.00086,negligible,False,0.0324,True,1.2603,0.0521,0.0349,weak,False,4,55265,,0.0521,1,0,1,0,2,weak
58,BUREAU_AMT_CREDIT_SUM_DEBT_MAX,256131,binary,-0.0022,0.271408,-0.006,0.0017,0.0428,0.0,-0.0022,0.271408,0.0018,0.0009,0.0,0.0428,spearman,0.0428,0.0,positive,negligible,True,False,0.002027,negligible,False,0.0406,True,1.1917,0.0428,0.0442,weak,False,9,138943,,0.0428,0,0,1,0,1,very_weak
59,BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,256131,binary,-0.0006,0.747015,-0.0045,0.0032,0.0538,0.0,-0.0006,0.747015,0.0019,0.0009,0.0,0.0538,spearman,0.0538,0.0,positive,negligible,True,False,0.002344,negligible,False,0.0449,True,1.2449,0.0538,0.0549,weak,False,9,169324,,0.0538,1,0,1,0,2,weak
60,BUREAU_AMT_CREDIT_SUM_DEBT_SUM,263491,binary,0.0071,0.000245,0.0033,0.011,0.0482,0.0,0.0071,0.000245,0.0004,0.0002,0.0001,0.0482,spearman,0.0482,0.0,positive,negligible,True,False,0.001019,negligible,False,0.0378,True,1.1706,0.0482,0.0423,weak,False,9,154999,,0.0482,0,0,1,0,1,very_weak
61,BUREAU_AMT_CREDIT_SUM_LIMIT_MAX,242442,binary,-0.0106,0.0,-0.0146,-0.0067,0.0343,0.0,-0.0106,0.0,0.0018,0.0009,0.0001,0.0343,spearman,0.0343,0.0,positive,negligible,True,False,0.000842,negligible,False,0.0599,False,1.5975,0.0343,0.0484,weak,True,4,34311,,0.0343,0,0,1,1,2,weak
62,BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,242442,binary,-0.0114,0.0,-0.0154,-0.0075,0.0337,0.0,-0.0114,0.0,0.0015,0.0008,0.0001,0.0337,spearman,0.0337,0.0,positive,negligible,True,False,0.002078,negligible,False,0.0542,False,1.557,0.0337,0.0429,weak,True,4,38928,,0.0337,0,0,1,1,2,weak
63,BUREAU_AMT_CREDIT_SUM_LIMIT_SUM,263491,binary,-0.0094,1e-06,-0.0132,-0.0056,0.0319,0.0,-0.0094,1e-06,0.0013,0.0007,0.0001,0.0319,spearman,0.0319,0.0,positive,negligible,True,False,0.000939,negligible,False,0.0564,False,1.5955,0.0319,0.0401,weak,True,3,37278,,0.0319,0,0,1,1,2,weak
64,BUREAU_AMT_CREDIT_SUM_MAX,263490,binary,-0.0197,0.0,-0.0236,-0.0159,-0.0138,0.0,-0.0197,0.0,0.0023,0.0011,0.0004,0.0197,point_biserial,-0.0197,0.0,negative,negligible,True,False,0.002698,negligible,False,0.0336,True,1.1377,-0.0138,0.0137,very_weak,False,10,65160,,0.0197,0,0,1,0,1,very_weak
65,BUREAU_AMT_CREDIT_SUM_MEAN,263490,binary,-0.02,0.0,-0.0238,-0.0161,-0.019,0.0,-0.02,0.0,0.0013,0.0007,0.0004,0.02,point_biserial,-0.02,0.0,negative,negligible,True,False,0.00149,negligible,False,0.0349,True,1.1475,-0.019,0.0138,very_weak,False,10,209581,,0.02,0,0,1,0,1,very_weak
66,BUREAU_AMT_CREDIT_SUM_OVERDUE_MAX,263491,binary,0.0106,0.0,0.0068,0.0144,0.0361,0.0,0.0106,0.0,0.0016,0.0008,0.0001,0.0361,spearman,0.0361,0.0,positive,negligible,True,False,0.000668,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0361,0,0,0,0,0,very_weak
67,BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,263491,binary,0.0072,0.000242,0.0033,0.011,0.0361,0.0,0.0072,0.000242,0.0015,0.0007,0.0001,0.0361,spearman,0.0361,0.0,positive,negligible,True,False,0.000153,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0361,0,0,0,0,0,very_weak
68,BUREAU_AMT_CREDIT_SUM_OVERDUE_SUM,263491,binary,0.0133,0.0,0.0095,0.0172,0.0361,0.0,0.0133,0.0,0.0016,0.0008,0.0002,0.0361,spearman,0.0361,0.0,positive,negligible,True,False,0.00103,negligible,False,,False,,,,none,False,0,0,too_few_valid_bins,0.0361,0,0,0,0,0,very_weak
69,BUREAU_AMT_CREDIT_SUM_SUM,263491,binary,-0.0141,0.0,-0.0179,-0.0102,-0.0178,0.0,-0.0141,0.0,0.0019,0.001,0.0002,0.0178,spearman,-0.0178,0.0,negative,negligible,True,False,0.002288,negligible,False,0.0286,True,1.1743,-0.0178,0.0087,very_weak,False,10,205630,,0.0178,0,0,0,0,0,very_weak
70,BUREAU_BB_MONTHS_BALANCE_MAX_MEAN,92231,binary,0.0227,0.0,0.0163,0.0292,0.0183,0.0,0.0227,0.0,0.0006,0.0003,0.0005,0.0227,pearson,0.0227,0.0,positive,negligible,True,False,0.020582,moderate,True,0.0272,True,1.1538,0.0183,0.0104,very_weak,False,7,3958,,0.0227,0,2,0,0,2,weak
71,BUREAU_BB_MONTHS_BALANCE_MIN_MEAN,92231,binary,0.089,0.0,0.0826,0.0954,0.0946,0.0,0.089,0.0,0.0063,0.0031,0.0079,0.0946,spearman,0.0946,0.0,positive,negligible,True,False,0.026811,moderate,True,0.0899,True,1.7427,0.0946,0.1246,medium,True,10,5715,,0.0946,1,2,2,1,6,moderate
72,BUREAU_BB_MONTHS_BALANCE_SIZE_MEAN,92231,binary,-0.0802,0.0,-0.0866,-0.0738,-0.0902,0.0,-0.0802,0.0,0.005,0.0025,0.0064,0.0902,spearman,-0.0902,0.0,negative,negligible,True,False,0.032286,moderate,True,0.0802,True,1.628,-0.0902,0.1098,medium,True,10,5673,,0.0902,1,2,2,1,6,moderate
73,BUREAU_BB_STATUS_0_MEAN_MEAN,92231,binary,0.0442,0.0,0.0378,0.0506,0.0458,0.0,0.0442,0.0,0.003,0.0015,0.002,0.0458,spearman,0.0458,0.0,positive,negligible,True,False,0.026699,moderate,True,0.0389,True,1.256,0.0458,0.0336,weak,False,10,60195,,0.0458,0,2,1,0,3,weak
74,BUREAU_BB_STATUS_1_MEAN_MEAN,92231,binary,0.0612,0.0,0.0548,0.0676,0.0572,0.0,0.0612,0.0,0.003,0.0015,0.0037,0.0612,pearson,0.0612,0.0,positive,negligible,True,False,0.00033,negligible,False,0.0545,True,1.5674,0.0572,0.0482,weak,True,4,13162,,0.0612,1,0,1,1,3,weak
